TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 253703367.82353 253703369.44404998 253703371.06456998 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
2.0 253703371.06456998 253703372.68508998 253703374.30560997 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
3.0 253703374.30561 253703375.92613 253703377.54665 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
4.0 253703377.54665 253703379.16717 253703380.78768998 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
5.0 253703380.78768998 253703382.40820998 253703384.02872998 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
6.0 253703384.02872998 253703385.64924997 253703387.26976997 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
7.0 253703387.26977 253703388.89029 253703390.51081 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
8.0 253703390.51081 253703392.13132998 253703393.75184998 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
9.0 253703393.75184998 253703395.37236997 253703396.99288997 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
10.0 253703396.99289 253703398.61341 253703400.23393 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
11.0 253703400.23393 253703401.85445 253703403.47496998 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
12.0 253703403.47496998 253703405.09548998 253703406.71600997 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
13.0 253703406.71600997 253703408.33652997 253703409.95704997 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
14.0 253703409.95705 253703411.57757 253703413.19809 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
15.0 253703413.19809 253703414.81860998 253703416.43912998 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
16.0 253703416.43912998 253703418.05964997 253703419.68016997 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
17.0 253703419.68017 253703421.30069 253703422.92121 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
18.0 253703422.92121 253703424.54173 253703426.16224998 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
19.0 253703426.16224998 253703427.78276998 253703429.40328997 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
20.0 253703429.40328997 253703431.02380997 253703432.64432997 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
21.0 253703432.64433 253703434.26485 253703435.88537 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
22.0 253703435.88537 253703437.50588998 253703439.12640998 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
23.0 253703439.12640998 253703440.74692997 253703442.36744997 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
24.0 253703442.36745 253703443.98797 253703445.60849 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
25.0 253703445.60849 253703447.22901 253703448.84952998 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
26.0 253703448.84952998 253703450.47004998 253703452.09056997 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
27.0 253703452.09057 253703453.71109 253703455.33161 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
28.0 253703455.33161 253703456.95213 253703458.57265 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
29.0 253703458.57265 253703460.19316998 253703461.81368998 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
30.0 253703461.81368998 253703463.43420997 253703465.05472997 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
31.0 253703465.05473 253703466.67525 253703468.29577 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
32.0 253703468.29577 253703469.91629 253703471.53680998 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
33.0 253703471.53680998 253703473.15732998 253703474.77784997 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
34.0 253703474.77785 253703476.39837 253703478.01889 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
35.0 253703478.01889 253703479.63941 253703481.25992998 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
36.0 253703481.25992998 253703482.88044998 253703484.50096998 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
37.0 253703484.50096998 253703486.12148997 253703487.74200997 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
38.0 253703487.74201 253703489.36253 253703490.98305 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
39.0 253703490.98305 253703492.60356998 253703494.22408998 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
40.0 253703494.22408998 253703495.84460998 253703497.46512997 0.0 0.0 6907.2575834276295 0.0 0.0 0.0
