TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 96844513.071315 96844514.69183502 96844516.31235501 0.0 0.0 1130.0201219565918 0.0 0.0 0.0
2.0 96844516.31235501 96844517.932875 96844519.55339502 0.0 0.0 1130.0201219565918 0.0 0.0 0.0
3.0 96844519.553395 96844521.173915 96844522.79443501 0.0 0.0 1130.0201219565918 0.0 0.0 0.0
4.0 96844522.79443501 96844524.41495502 96844526.03547502 0.0 0.0 1130.0201219565918 0.0 0.0 0.0
5.0 96844526.035475 96844527.65599501 96844529.276515 0.0 0.0 1130.0201219565918 0.0 0.0 0.0
6.0 96844529.276515 96844530.897035 96844532.51755501 0.0 0.0 1130.0201219565918 0.0 0.0 0.0
7.0 96844532.517555 96844534.138075 96844535.758595 0.0 0.0 1130.0201219565918 0.0 0.0 0.0
8.0 96844535.758595 96844537.37911502 96844538.99963501 0.0 0.0 1130.0201219565918 0.0 0.0 0.0
9.0 96844538.99963501 96844540.620155 96844542.24067502 0.0 0.0 1130.0201219565918 0.0 0.0 0.0
10.0 96844542.240675 96844543.861195 96844545.48171501 0.0 0.0 1130.0201219565918 0.0 0.0 0.0
11.0 96844545.48171501 96844547.10223502 96844548.72275501 0.0 0.0 1130.0201219565918 0.0 0.0 0.0
12.0 96844548.722755 96844550.34327501 96844551.963795 0.0 0.0 1130.0201219565918 0.0 0.0 0.0
13.0 96844551.963795 96844553.584315 96844555.20483501 0.0 0.0 1130.0201219565918 0.0 0.0 0.0
14.0 96844555.20483501 96844556.82535502 96844558.44587502 0.0 0.0 1130.0201219565918 0.0 0.0 0.0
15.0 96844558.445875 96844560.06639501 96844561.68691501 0.0 0.0 1130.0201219565918 0.0 0.0 0.0
16.0 96844561.68691501 96844563.307435 96844564.92795502 0.0 0.0 1130.0201219565918 0.0 0.0 0.0
17.0 96844564.927955 96844566.548475 96844568.16899501 0.0 0.0 1130.0201219565918 0.0 0.0 0.0
18.0 96844568.16899501 96844569.78951502 96844571.41003501 0.0 0.0 1130.0201219565918 0.0 0.0 0.0
19.0 96844571.410035 96844573.03055501 96844574.651075 0.0 0.0 1130.0201219565918 0.0 0.0 0.0
20.0 96844574.651075 96844576.271595 96844577.89211501 0.0 0.0 1130.0201219565918 0.0 0.0 0.0
21.0 96844577.89211501 96844579.51263502 96844581.13315502 0.0 0.0 1130.0201219565918 0.0 0.0 0.0
22.0 96844581.133155 96844582.75367501 96844584.37419501 0.0 0.0 1130.0201219565918 0.0 0.0 0.0
23.0 96844584.37419501 96844585.994715 96844587.61523502 0.0 0.0 1130.0201219565918 0.0 0.0 0.0
24.0 96844587.615235 96844589.235755 96844590.856275 0.0 0.0 1130.0201219565918 0.0 0.0 0.0
25.0 96844590.856275 96844592.47679502 96844594.09731501 0.0 0.0 1130.0201219565918 0.0 0.0 0.0
26.0 96844594.097315 96844595.71783501 96844597.338355 0.0 0.0 1130.0201219565918 0.0 0.0 0.0
27.0 96844597.338355 96844598.958875 96844600.57939501 0.0 0.0 1130.0201219565918 0.0 0.0 0.0
28.0 96844600.57939501 96844602.19991502 96844603.82043502 0.0 0.0 1130.0201219565918 0.0 0.0 0.0
29.0 96844603.820435 96844605.44095501 96844607.06147501 0.0 0.0 1130.0201219565918 0.0 0.0 0.0
30.0 96844607.06147501 96844608.681995 96844610.30251502 0.0 0.0 1130.0201219565918 0.0 0.0 0.0
31.0 96844610.302515 96844611.923035 96844613.543555 0.0 0.0 1130.0201219565918 0.0 0.0 0.0
32.0 96844613.543555 96844615.16407502 96844616.78459501 0.0 0.0 1130.0201219565918 0.0 0.0 0.0
