TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 636010746.62559 636010748.24611 636010749.86663 0.0 0.0 4393.372513554082 0.0 0.0 0.0
2.0 636010749.86663 636010751.48715 636010753.10767 0.0 0.0 4393.372513554082 0.0 0.0 0.0
3.0 636010753.10767 636010754.72819 636010756.34871 0.0 0.0 4393.372513554082 0.0 0.0 0.0
4.0 636010756.34871 636010757.9692299 636010759.5897499 0.0 0.0 4393.372513554082 0.0 0.0 0.0
5.0 636010759.5897499 636010761.2102699 636010762.8307899 0.0 0.0 4393.372513554082 0.0 0.0 0.0
6.0 636010762.8307899 636010764.4513099 636010766.0718299 0.0 0.0 4393.372513554082 0.0 0.0 0.0
7.0 636010766.0718299 636010767.6923499 636010769.3128699 0.0 0.0 4393.372513554082 0.0 0.0 0.0
8.0 636010769.31287 636010770.93339 636010772.55391 0.0 0.0 4393.372513554082 0.0 0.0 0.0
9.0 636010772.55391 636010774.17443 636010775.79495 0.0 0.0 4393.372513554082 0.0 0.0 0.0
10.0 636010775.79495 636010777.41547 636010779.03599 0.0 0.0 4393.372513554082 0.0 0.0 0.0
11.0 636010779.03599 636010780.65651 636010782.27703 0.0 0.0 4393.372513554082 0.0 0.0 0.0
12.0 636010782.27703 636010783.89755 636010785.51807 0.0 0.0 4393.372513554082 0.0 0.0 0.0
13.0 636010785.51807 636010787.13859 636010788.75911 0.0 0.0 4393.372513554082 0.0 0.0 0.0
14.0 636010788.75911 636010790.37963 636010792.00015 0.0 0.0 4393.372513554082 0.0 0.0 0.0
15.0 636010792.00015 636010793.62067 636010795.24119 0.0 0.0 4393.372513554082 0.0 0.0 0.0
16.0 636010795.24119 636010796.86171 636010798.48223 0.0 0.0 4393.372513554082 0.0 0.0 0.0
17.0 636010798.48223 636010800.10275 636010801.7232699 0.0 0.0 4393.372513554082 0.0 0.0 0.0
18.0 636010801.7232699 636010803.3437899 636010804.9643099 0.0 0.0 4393.372513554082 0.0 0.0 0.0
19.0 636010804.9643099 636010806.5848299 636010808.2053499 0.0 0.0 4393.372513554082 0.0 0.0 0.0
20.0 636010808.2053499 636010809.8258699 636010811.4463899 0.0 0.0 4393.372513554082 0.0 0.0 0.0
21.0 636010811.4463899 636010813.0669099 636010814.6874299 0.0 0.0 4393.372513554082 0.0 0.0 0.0
22.0 636010814.68743 636010816.30795 636010817.92847 0.0 0.0 4393.372513554082 0.0 0.0 0.0
23.0 636010817.92847 636010819.54899 636010821.16951 0.0 0.0 4393.372513554082 0.0 0.0 0.0
24.0 636010821.16951 636010822.79003 636010824.41055 0.0 0.0 4393.372513554082 0.0 0.0 0.0
25.0 636010824.41055 636010826.03107 636010827.65159 0.0 0.0 4393.372513554082 0.0 0.0 0.0
26.0 636010827.65159 636010829.27211 636010830.89263 0.0 0.0 4393.372513554082 0.0 0.0 0.0
27.0 636010830.89263 636010832.51315 636010834.13367 0.0 0.0 4393.372513554082 0.0 0.0 0.0
28.0 636010834.13367 636010835.75419 636010837.37471 0.0 0.0 4393.372513554082 0.0 0.0 0.0
29.0 636010837.37471 636010838.99523 636010840.61575 0.0 0.0 4393.372513554082 0.0 0.0 0.0
30.0 636010840.61575 636010842.23627 636010843.85679 0.0 0.0 4393.372513554082 0.0 0.0 0.0
31.0 636010843.85679 636010845.47731 636010847.0978299 0.0 0.0 4393.372513554082 0.0 0.0 0.0
32.0 636010847.0978299 636010848.7183499 636010850.3388699 0.0 0.0 4393.372513554082 0.0 0.0 0.0
33.0 636010850.3388699 636010851.9593899 636010853.5799099 0.0 0.0 4393.372513554082 0.0 0.0 0.0
34.0 636010853.5799099 636010855.2004299 636010856.8209499 0.0 0.0 4393.372513554082 0.0 0.0 0.0
35.0 636010856.8209499 636010858.4414699 636010860.0619899 0.0 0.0 4393.372513554082 0.0 0.0 0.0
36.0 636010860.06199 636010861.68251 636010863.30303 0.0 0.0 4393.372513554082 0.0 0.0 0.0
37.0 636010863.30303 636010864.92355 636010866.54407 0.0 0.0 4393.372513554082 0.0 0.0 0.0
38.0 636010866.54407 636010868.16459 636010869.78511 0.0 0.0 4393.372513554082 0.0 0.0 0.0
39.0 636010869.78511 636010871.40563 636010873.02615 0.0 0.0 4393.372513554082 0.0 0.0 0.0
40.0 636010873.02615 636010874.64667 636010876.26719 0.0 0.0 4393.372513554082 0.0 0.0 0.0
41.0 636010876.26719 636010877.88771 636010879.50823 0.0 0.0 4393.372513554082 0.0 0.0 0.0
42.0 636010879.50823 636010881.12875 636010882.74927 0.0 0.0 4393.372513554082 0.0 0.0 0.0
43.0 636010882.74927 636010884.36979 636010885.99031 0.0 0.0 4393.372513554082 0.0 0.0 0.0
44.0 636010885.99031 636010887.61083 636010889.23135 0.0 0.0 4393.372513554082 0.0 0.0 0.0
45.0 636010889.23135 636010890.85187 636010892.4723899 0.0 0.0 4393.372513554082 0.0 0.0 0.0
46.0 636010892.4723899 636010894.0929099 636010895.7134299 0.0 0.0 4393.372513554082 0.0 0.0 0.0
47.0 636010895.7134299 636010897.3339499 636010898.9544699 0.0 0.0 4393.372513554082 0.0 0.0 0.0
48.0 636010898.9544699 636010900.5749899 636010902.1955099 0.0 0.0 4393.372513554082 0.0 0.0 0.0
49.0 636010902.1955099 636010903.8160299 636010905.4365499 0.0 0.0 4393.372513554082 0.0 0.0 0.0
50.0 636010905.43655 636010907.05707 636010908.67759 0.0 0.0 4393.372513554082 0.0 0.0 0.0
51.0 636010908.67759 636010910.29811 636010911.91863 0.0 0.0 4393.372513554082 0.0 0.0 0.0
52.0 636010911.91863 636010913.53915 636010915.15967 0.0 0.0 4393.372513554082 0.0 0.0 0.0
53.0 636010915.15967 636010916.78019 636010918.40071 0.0 0.0 4393.372513554082 0.0 0.0 0.0
54.0 636010918.40071 636010920.02123 636010921.64175 0.0 0.0 4393.372513554082 0.0 0.0 0.0
55.0 636010921.64175 636010923.26227 636010924.88279 0.0 0.0 4393.372513554082 0.0 0.0 0.0
56.0 636010924.88279 636010926.50331 636010928.12383 0.0 0.0 4393.372513554082 0.0 0.0 0.0
57.0 636010928.12383 636010929.74435 636010931.36487 0.0 0.0 4393.372513554082 0.0 0.0 0.0
58.0 636010931.36487 636010932.98539 636010934.60591 0.0 0.0 4393.372513554082 0.0 0.0 0.0
59.0 636010934.60591 636010936.2264299 636010937.8469499 0.0 0.0 4393.372513554082 0.0 0.0 0.0
60.0 636010937.8469499 636010939.4674699 636010941.0879899 0.0 0.0 4393.372513554082 0.0 0.0 0.0
61.0 636010941.0879899 636010942.7085099 636010944.3290299 0.0 0.0 4393.372513554082 0.0 0.0 0.0
62.0 636010944.3290299 636010945.9495499 636010947.5700699 0.0 0.0 4393.372513554082 0.0 0.0 0.0
63.0 636010947.5700699 636010949.1905899 636010950.8111099 0.0 0.0 4393.372513554082 0.0 0.0 0.0
64.0 636010950.81111 636010952.43163 636010954.05215 0.0 0.0 4393.372513554082 0.0 0.0 0.0
65.0 636010954.05215 636010955.67267 636010957.29319 0.0 0.0 4393.372513554082 0.0 0.0 0.0
66.0 636010957.29319 636010958.91371 636010960.53423 0.0 0.0 4393.372513554082 0.0 0.0 0.0
67.0 636010960.53423 636010962.15475 636010963.77527 0.0 0.0 4393.372513554082 0.0 0.0 0.0
68.0 636010963.77527 636010965.39579 636010967.01631 0.0 0.0 4393.372513554082 0.0 0.0 0.0
69.0 636010967.01631 636010968.63683 636010970.25735 0.0 0.0 4393.372513554082 0.0 0.0 0.0
70.0 636010970.25735 636010971.87787 636010973.49839 0.0 0.0 4393.372513554082 0.0 0.0 0.0
71.0 636010973.49839 636010975.11891 636010976.73943 0.0 0.0 4393.372513554082 0.0 0.0 0.0
72.0 636010976.73943 636010978.35995 636010979.98047 0.0 0.0 4393.372513554082 0.0 0.0 0.0
73.0 636010979.98047 636010981.6009899 636010983.2215099 0.0 0.0 4393.372513554082 0.0 0.0 0.0
74.0 636010983.2215099 636010984.8420299 636010986.4625499 0.0 0.0 4393.372513554082 0.0 0.0 0.0
75.0 636010986.4625499 636010988.0830699 636010989.7035899 0.0 0.0 4393.372513554082 0.0 0.0 0.0
76.0 636010989.7035899 636010991.3241099 636010992.9446299 0.0 0.0 4393.372513554082 0.0 0.0 0.0
77.0 636010992.9446299 636010994.5651499 636010996.1856699 0.0 0.0 4393.372513554082 0.0 0.0 0.0
78.0 636010996.18567 636010997.80619 636010999.42671 0.0 0.0 4393.372513554082 0.0 0.0 0.0
79.0 636010999.42671 636011001.04723 636011002.66775 0.0 0.0 4393.372513554082 0.0 0.0 0.0
80.0 636011002.66775 636011004.28827 636011005.90879 0.0 0.0 4393.372513554082 0.0 0.0 0.0
81.0 636011005.90879 636011007.52931 636011009.14983 0.0 0.0 4393.372513554082 0.0 0.0 0.0
82.0 636011009.14983 636011010.77035 636011012.39087 0.0 0.0 4393.372513554082 0.0 0.0 0.0
83.0 636011012.39087 636011014.01139 636011015.63191 0.0 0.0 4393.372513554082 0.0 0.0 0.0
84.0 636011015.63191 636011017.25243 636011018.87295 0.0 0.0 4393.372513554082 0.0 0.0 0.0
85.0 636011018.87295 636011020.49347 636011022.11399 0.0 0.0 4393.372513554082 0.0 0.0 0.0
86.0 636011022.11399 636011023.73451 636011025.35503 0.0 0.0 4393.372513554082 0.0 0.0 0.0
87.0 636011025.35503 636011026.9755499 636011028.5960699 0.0 0.0 4393.372513554082 0.0 0.0 0.0
88.0 636011028.5960699 636011030.2165899 636011031.8371099 0.0 0.0 4393.372513554082 0.0 0.0 0.0
89.0 636011031.8371099 636011033.4576299 636011035.0781499 0.0 0.0 4393.372513554082 0.0 0.0 0.0
90.0 636011035.0781499 636011036.6986699 636011038.3191899 0.0 0.0 4393.372513554082 0.0 0.0 0.0
91.0 636011038.31919 636011039.93971 636011041.56023 0.0 0.0 4393.372513554082 0.0 0.0 0.0
