TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 313633179.31099 313633180.93151 313633182.55202997 0.0 0.0 3049.5945499169466 0.0 0.0 0.0
2.0 313633182.55202997 313633184.17254996 313633185.79306996 0.0 0.0 3049.5945499169466 0.0 0.0 0.0
3.0 313633185.79306996 313633187.41358995 313633189.03410995 0.0 0.0 3049.5945499169466 0.0 0.0 0.0
4.0 313633189.03410995 313633190.65462995 313633192.27514994 0.0 0.0 3049.5945499169466 0.0 0.0 0.0
5.0 313633192.27515 313633193.89567 313633195.51619 0.0 0.0 3049.5945499169466 0.0 0.0 0.0
6.0 313633195.51619 313633197.13671 313633198.75723 0.0 0.0 3049.5945499169466 0.0 0.0 0.0
7.0 313633198.75723 313633200.37775 313633201.99827 0.0 0.0 3049.5945499169466 0.0 0.0 0.0
8.0 313633201.99827 313633203.61879 313633205.23930997 0.0 0.0 3049.5945499169466 0.0 0.0 0.0
9.0 313633205.23930997 313633206.85982996 313633208.48034996 0.0 0.0 3049.5945499169466 0.0 0.0 0.0
10.0 313633208.48034996 313633210.10086995 313633211.72138995 0.0 0.0 3049.5945499169466 0.0 0.0 0.0
11.0 313633211.72138995 313633213.34190995 313633214.96242994 0.0 0.0 3049.5945499169466 0.0 0.0 0.0
12.0 313633214.96243 313633216.58295 313633218.20347 0.0 0.0 3049.5945499169466 0.0 0.0 0.0
13.0 313633218.20347 313633219.82399 313633221.44451 0.0 0.0 3049.5945499169466 0.0 0.0 0.0
14.0 313633221.44451 313633223.06503 313633224.68555 0.0 0.0 3049.5945499169466 0.0 0.0 0.0
15.0 313633224.68555 313633226.30606997 313633227.92658997 0.0 0.0 3049.5945499169466 0.0 0.0 0.0
16.0 313633227.92658997 313633229.54710996 313633231.16762996 0.0 0.0 3049.5945499169466 0.0 0.0 0.0
17.0 313633231.16762996 313633232.78814995 313633234.40866995 0.0 0.0 3049.5945499169466 0.0 0.0 0.0
18.0 313633234.40866995 313633236.02918994 313633237.64970994 0.0 0.0 3049.5945499169466 0.0 0.0 0.0
19.0 313633237.64971 313633239.27023 313633240.89075 0.0 0.0 3049.5945499169466 0.0 0.0 0.0
