TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 654217643.84043 654217645.46095 654217647.08147 0.0 0.0 3440.3714891413906 0.0 0.0 0.0
2.0 654217647.08147 654217648.70199 654217650.32251 0.0 0.0 3440.3714891413906 0.0 0.0 0.0
3.0 654217650.32251 654217651.94303 654217653.56355 0.0 0.0 3440.3714891413906 0.0 0.0 0.0
4.0 654217653.56355 654217655.18407 654217656.80459 0.0 0.0 3440.3714891413906 0.0 0.0 0.0
5.0 654217656.80459 654217658.42511 654217660.04563 0.0 0.0 3440.3714891413906 0.0 0.0 0.0
6.0 654217660.04563 654217661.66615 654217663.28667 0.0 0.0 3440.3714891413906 0.0 0.0 0.0
7.0 654217663.28667 654217664.90719 654217666.52771 0.0 0.0 3440.3714891413906 0.0 0.0 0.0
8.0 654217666.5277101 654217668.1482301 654217669.7687501 0.0 0.0 3440.3714891413906 0.0 0.0 0.0
9.0 654217669.7687501 654217671.3892701 654217673.0097901 0.0 0.0 3440.3714891413906 0.0 0.0 0.0
10.0 654217673.0097901 654217674.63031 654217676.25083 0.0 0.0 3440.3714891413906 0.0 0.0 0.0
11.0 654217676.25083 654217677.87135 654217679.49187 0.0 0.0 3440.3714891413906 0.0 0.0 0.0
12.0 654217679.49187 654217681.11239 654217682.73291 0.0 0.0 3440.3714891413906 0.0 0.0 0.0
13.0 654217682.73291 654217684.35343 654217685.97395 0.0 0.0 3440.3714891413906 0.0 0.0 0.0
14.0 654217685.97395 654217687.59447 654217689.21499 0.0 0.0 3440.3714891413906 0.0 0.0 0.0
15.0 654217689.21499 654217690.83551 654217692.45603 0.0 0.0 3440.3714891413906 0.0 0.0 0.0
16.0 654217692.45603 654217694.07655 654217695.69707 0.0 0.0 3440.3714891413906 0.0 0.0 0.0
17.0 654217695.69707 654217697.31759 654217698.93811 0.0 0.0 3440.3714891413906 0.0 0.0 0.0
18.0 654217698.93811 654217700.55863 654217702.17915 0.0 0.0 3440.3714891413906 0.0 0.0 0.0
19.0 654217702.17915 654217703.79967 654217705.42019 0.0 0.0 3440.3714891413906 0.0 0.0 0.0
20.0 654217705.42019 654217707.04071 654217708.66123 0.0 0.0 3440.3714891413906 0.0 0.0 0.0
21.0 654217708.66123 654217710.28175 654217711.90227 0.0 0.0 3440.3714891413906 0.0 0.0 0.0
22.0 654217711.9022701 654217713.5227901 654217715.1433101 0.0 0.0 3440.3714891413906 0.0 0.0 0.0
23.0 654217715.1433101 654217716.7638301 654217718.3843501 0.0 0.0 3440.3714891413906 0.0 0.0 0.0
24.0 654217718.3843501 654217720.00487 654217721.62539 0.0 0.0 3440.3714891413906 0.0 0.0 0.0
25.0 654217721.62539 654217723.24591 654217724.86643 0.0 0.0 3440.3714891413906 0.0 0.0 0.0
26.0 654217724.86643 654217726.48695 654217728.10747 0.0 0.0 3440.3714891413906 0.0 0.0 0.0
