TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 538643001.41145 538643003.03197 538643004.65249 0.0 0.0 2511.069525956822 0.0 0.0 0.0
2.0 538643004.65249 538643006.27301 538643007.89353 0.0 0.0 2511.069525956822 0.0 0.0 0.0
3.0 538643007.89353 538643009.51405 538643011.13457 0.0 0.0 2511.069525956822 0.0 0.0 0.0
4.0 538643011.13457 538643012.75509 538643014.37561 0.0 0.0 2511.069525956822 0.0 0.0 0.0
5.0 538643014.37561 538643015.99613 538643017.61665 0.0 0.0 2511.069525956822 0.0 0.0 0.0
6.0 538643017.61665 538643019.23717 538643020.85769 0.0 0.0 2511.069525956822 0.0 0.0 0.0
7.0 538643020.85769 538643022.47821 538643024.09873 0.0 0.0 2511.069525956822 0.0 0.0 0.0
8.0 538643024.0987301 538643025.7192501 538643027.3397701 0.0 0.0 2511.069525956822 0.0 0.0 0.0
9.0 538643027.3397701 538643028.9602901 538643030.5808101 0.0 0.0 2511.069525956822 0.0 0.0 0.0
10.0 538643030.5808101 538643032.2013301 538643033.8218501 0.0 0.0 2511.069525956822 0.0 0.0 0.0
11.0 538643033.8218501 538643035.44237 538643037.06289 0.0 0.0 2511.069525956822 0.0 0.0 0.0
12.0 538643037.06289 538643038.68341 538643040.30393 0.0 0.0 2511.069525956822 0.0 0.0 0.0
13.0 538643040.30393 538643041.92445 538643043.54497 0.0 0.0 2511.069525956822 0.0 0.0 0.0
14.0 538643043.54497 538643045.16549 538643046.78601 0.0 0.0 2511.069525956822 0.0 0.0 0.0
15.0 538643046.78601 538643048.40653 538643050.02705 0.0 0.0 2511.069525956822 0.0 0.0 0.0
16.0 538643050.02705 538643051.64757 538643053.26809 0.0 0.0 2511.069525956822 0.0 0.0 0.0
17.0 538643053.26809 538643054.88861 538643056.50913 0.0 0.0 2511.069525956822 0.0 0.0 0.0
18.0 538643056.50913 538643058.12965 538643059.75017 0.0 0.0 2511.069525956822 0.0 0.0 0.0
19.0 538643059.75017 538643061.37069 538643062.99121 0.0 0.0 2511.069525956822 0.0 0.0 0.0
20.0 538643062.99121 538643064.61173 538643066.23225 0.0 0.0 2511.069525956822 0.0 0.0 0.0
21.0 538643066.23225 538643067.85277 538643069.47329 0.0 0.0 2511.069525956822 0.0 0.0 0.0
22.0 538643069.4732901 538643071.0938101 538643072.7143301 0.0 0.0 2511.069525956822 0.0 0.0 0.0
23.0 538643072.7143301 538643074.3348501 538643075.9553701 0.0 0.0 2511.069525956822 0.0 0.0 0.0
24.0 538643075.9553701 538643077.5758901 538643079.1964101 0.0 0.0 2511.069525956822 0.0 0.0 0.0
25.0 538643079.1964101 538643080.81693 538643082.43745 0.0 0.0 2511.069525956822 0.0 0.0 0.0
26.0 538643082.43745 538643084.05797 538643085.67849 0.0 0.0 2511.069525956822 0.0 0.0 0.0
27.0 538643085.67849 538643087.29901 538643088.91953 0.0 0.0 2511.069525956822 0.0 0.0 0.0
28.0 538643088.91953 538643090.54005 538643092.16057 0.0 0.0 2511.069525956822 0.0 0.0 0.0
29.0 538643092.16057 538643093.78109 538643095.40161 0.0 0.0 2511.069525956822 0.0 0.0 0.0
30.0 538643095.40161 538643097.02213 538643098.64265 0.0 0.0 2511.069525956822 0.0 0.0 0.0
31.0 538643098.64265 538643100.26317 538643101.88369 0.0 0.0 2511.069525956822 0.0 0.0 0.0
32.0 538643101.88369 538643103.50421 538643105.12473 0.0 0.0 2511.069525956822 0.0 0.0 0.0
33.0 538643105.12473 538643106.74525 538643108.36577 0.0 0.0 2511.069525956822 0.0 0.0 0.0
34.0 538643108.36577 538643109.98629 538643111.60681 0.0 0.0 2511.069525956822 0.0 0.0 0.0
35.0 538643111.60681 538643113.22733 538643114.84785 0.0 0.0 2511.069525956822 0.0 0.0 0.0
36.0 538643114.8478501 538643116.4683701 538643118.0888901 0.0 0.0 2511.069525956822 0.0 0.0 0.0
37.0 538643118.0888901 538643119.7094101 538643121.3299301 0.0 0.0 2511.069525956822 0.0 0.0 0.0
38.0 538643121.3299301 538643122.9504501 538643124.57097 0.0 0.0 2511.069525956822 0.0 0.0 0.0
39.0 538643124.57097 538643126.19149 538643127.81201 0.0 0.0 2511.069525956822 0.0 0.0 0.0
40.0 538643127.81201 538643129.43253 538643131.05305 0.0 0.0 2511.069525956822 0.0 0.0 0.0
41.0 538643131.05305 538643132.67357 538643134.29409 0.0 0.0 2511.069525956822 0.0 0.0 0.0
42.0 538643134.29409 538643135.91461 538643137.53513 0.0 0.0 2511.069525956822 0.0 0.0 0.0
43.0 538643137.53513 538643139.15565 538643140.77617 0.0 0.0 2511.069525956822 0.0 0.0 0.0
