TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 330516452.76934 330516454.38986 330516456.01037997 0.0 0.0 19183.50335825581 0.0 0.0 0.0
2.0 330516456.01037997 330516457.63089997 330516459.25141996 0.0 0.0 19183.50335825581 0.0 0.0 0.0
3.0 330516459.25141996 330516460.87193996 330516462.49245995 0.0 0.0 19183.50335825581 0.0 0.0 0.0
4.0 330516462.49245995 330516464.11297995 330516465.73349994 0.0 0.0 19183.50335825581 0.0 0.0 0.0
5.0 330516465.7335 330516467.35402 330516468.97454 0.0 0.0 19183.50335825581 0.0 0.0 0.0
6.0 330516468.97454 330516470.59506 330516472.21558 0.0 0.0 19183.50335825581 0.0 0.0 0.0
7.0 330516472.21558 330516473.8361 330516475.45662 0.0 0.0 19183.50335825581 0.0 0.0 0.0
8.0 330516475.45662 330516477.07714 330516478.69765997 0.0 0.0 19183.50335825581 0.0 0.0 0.0
9.0 330516478.69765997 330516480.31817997 330516481.93869996 0.0 0.0 19183.50335825581 0.0 0.0 0.0
10.0 330516481.93869996 330516483.55921996 330516485.17973995 0.0 0.0 19183.50335825581 0.0 0.0 0.0
11.0 330516485.17973995 330516486.80025995 330516488.42077994 0.0 0.0 19183.50335825581 0.0 0.0 0.0
12.0 330516488.42078 330516490.0413 330516491.66182 0.0 0.0 19183.50335825581 0.0 0.0 0.0
13.0 330516491.66182 330516493.28234 330516494.90286 0.0 0.0 19183.50335825581 0.0 0.0 0.0
14.0 330516494.90286 330516496.52338 330516498.1439 0.0 0.0 19183.50335825581 0.0 0.0 0.0
15.0 330516498.1439 330516499.76442 330516501.38493997 0.0 0.0 19183.50335825581 0.0 0.0 0.0
16.0 330516501.38493997 330516503.00545996 330516504.62597996 0.0 0.0 19183.50335825581 0.0 0.0 0.0
17.0 330516504.62597996 330516506.24649996 330516507.86701995 0.0 0.0 19183.50335825581 0.0 0.0 0.0
18.0 330516507.86701995 330516509.48753995 330516511.10805994 0.0 0.0 19183.50335825581 0.0 0.0 0.0
19.0 330516511.10806 330516512.72858 330516514.3491 0.0 0.0 19183.50335825581 0.0 0.0 0.0
20.0 330516514.3491 330516515.96962 330516517.59014 0.0 0.0 19183.50335825581 0.0 0.0 0.0
21.0 330516517.59014 330516519.21066 330516520.83118 0.0 0.0 19183.50335825581 0.0 0.0 0.0
22.0 330516520.83118 330516522.4517 330516524.07221997 0.0 0.0 19183.50335825581 0.0 0.0 0.0
