TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 121069669.98038 121069671.6009 121069673.22142 0.0 0.0 4787.042565860383 0.0 0.0 0.0
2.0 121069673.22142 121069674.84194002 121069676.46246001 0.0 0.0 4787.042565860383 0.0 0.0 0.0
3.0 121069676.46246 121069678.08298 121069679.7035 0.0 0.0 4787.042565860383 0.0 0.0 0.0
4.0 121069679.7035 121069681.32402 121069682.94454001 0.0 0.0 4787.042565860383 0.0 0.0 0.0
5.0 121069682.94454 121069684.56505999 121069686.18558 0.0 0.0 4787.042565860383 0.0 0.0 0.0
6.0 121069686.18558 121069687.80610001 121069689.42662 0.0 0.0 4787.042565860383 0.0 0.0 0.0
7.0 121069689.42661999 121069691.04714 121069692.66766 0.0 0.0 4787.042565860383 0.0 0.0 0.0
8.0 121069692.66766 121069694.28818 121069695.9087 0.0 0.0 4787.042565860383 0.0 0.0 0.0
9.0 121069695.9087 121069697.52922001 121069699.14974001 0.0 0.0 4787.042565860383 0.0 0.0 0.0
10.0 121069699.14974 121069700.77026 121069702.39078 0.0 0.0 4787.042565860383 0.0 0.0 0.0
11.0 121069702.39078 121069704.0113 121069705.63182001 0.0 0.0 4787.042565860383 0.0 0.0 0.0
12.0 121069705.63182 121069707.25233999 121069708.87286 0.0 0.0 4787.042565860383 0.0 0.0 0.0
13.0 121069708.87286 121069710.49338001 121069712.1139 0.0 0.0 4787.042565860383 0.0 0.0 0.0
14.0 121069712.1139 121069713.73442 121069715.35494001 0.0 0.0 4787.042565860383 0.0 0.0 0.0
15.0 121069715.35494 121069716.97546 121069718.59598 0.0 0.0 4787.042565860383 0.0 0.0 0.0
16.0 121069718.59598 121069720.21650001 121069721.83702001 0.0 0.0 4787.042565860383 0.0 0.0 0.0
17.0 121069721.83702 121069723.45754 121069725.07806 0.0 0.0 4787.042565860383 0.0 0.0 0.0
18.0 121069725.07806 121069726.69858 121069728.3191 0.0 0.0 4787.042565860383 0.0 0.0 0.0
19.0 121069728.31909999 121069729.93961999 121069731.56014 0.0 0.0 4787.042565860383 0.0 0.0 0.0
20.0 121069731.56014 121069733.18066001 121069734.80118 0.0 0.0 4787.042565860383 0.0 0.0 0.0
21.0 121069734.80118 121069736.4217 121069738.04222001 0.0 0.0 4787.042565860383 0.0 0.0 0.0
22.0 121069738.04222 121069739.66273999 121069741.28326 0.0 0.0 4787.042565860383 0.0 0.0 0.0
23.0 121069741.28326 121069742.90378001 121069744.52430001 0.0 0.0 4787.042565860383 0.0 0.0 0.0
24.0 121069744.5243 121069746.14482 121069747.76534 0.0 0.0 4787.042565860383 0.0 0.0 0.0
25.0 121069747.76534 121069749.38586 121069751.00638 0.0 0.0 4787.042565860383 0.0 0.0 0.0
26.0 121069751.00637999 121069752.62689999 121069754.24742 0.0 0.0 4787.042565860383 0.0 0.0 0.0
27.0 121069754.24742 121069755.86794001 121069757.48846 0.0 0.0 4787.042565860383 0.0 0.0 0.0
28.0 121069757.48846 121069759.10898 121069760.72950001 0.0 0.0 4787.042565860383 0.0 0.0 0.0
29.0 121069760.7295 121069762.35001999 121069763.97054 0.0 0.0 4787.042565860383 0.0 0.0 0.0
30.0 121069763.97054 121069765.59106001 121069767.21158001 0.0 0.0 4787.042565860383 0.0 0.0 0.0
31.0 121069767.21158 121069768.8321 121069770.45262 0.0 0.0 4787.042565860383 0.0 0.0 0.0
32.0 121069770.45262 121069772.07314 121069773.69366 0.0 0.0 4787.042565860383 0.0 0.0 0.0
33.0 121069773.69366 121069775.31418002 121069776.93470001 0.0 0.0 4787.042565860383 0.0 0.0 0.0
34.0 121069776.9347 121069778.55522001 121069780.17574 0.0 0.0 4787.042565860383 0.0 0.0 0.0
35.0 121069780.17574 121069781.79626 121069783.41678001 0.0 0.0 4787.042565860383 0.0 0.0 0.0
36.0 121069783.41678 121069785.03729999 121069786.65782 0.0 0.0 4787.042565860383 0.0 0.0 0.0
37.0 121069786.65782 121069788.27834001 121069789.89886001 0.0 0.0 4787.042565860383 0.0 0.0 0.0
38.0 121069789.89886 121069791.51938 121069793.1399 0.0 0.0 4787.042565860383 0.0 0.0 0.0
39.0 121069793.1399 121069794.76042 121069796.38094 0.0 0.0 4787.042565860383 0.0 0.0 0.0
40.0 121069796.38094 121069798.00146002 121069799.62198001 0.0 0.0 4787.042565860383 0.0 0.0 0.0
41.0 121069799.62198 121069801.2425 121069802.86302 0.0 0.0 4787.042565860383 0.0 0.0 0.0
42.0 121069802.86302 121069804.48354 121069806.10406001 0.0 0.0 4787.042565860383 0.0 0.0 0.0
43.0 121069806.10406 121069807.72457999 121069809.3451 0.0 0.0 4787.042565860383 0.0 0.0 0.0
44.0 121069809.3451 121069810.96562001 121069812.58614 0.0 0.0 4787.042565860383 0.0 0.0 0.0
45.0 121069812.58613999 121069814.20666 121069815.82718 0.0 0.0 4787.042565860383 0.0 0.0 0.0
46.0 121069815.82718 121069817.4477 121069819.06822 0.0 0.0 4787.042565860383 0.0 0.0 0.0
47.0 121069819.06822 121069820.68874002 121069822.30926001 0.0 0.0 4787.042565860383 0.0 0.0 0.0
48.0 121069822.30926 121069823.92978 121069825.5503 0.0 0.0 4787.042565860383 0.0 0.0 0.0
49.0 121069825.5503 121069827.17082 121069828.79134001 0.0 0.0 4787.042565860383 0.0 0.0 0.0
50.0 121069828.79134 121069830.41185999 121069832.03238 0.0 0.0 4787.042565860383 0.0 0.0 0.0
51.0 121069832.03238 121069833.65290001 121069835.27342 0.0 0.0 4787.042565860383 0.0 0.0 0.0
52.0 121069835.27342 121069836.89394 121069838.51446001 0.0 0.0 4787.042565860383 0.0 0.0 0.0
53.0 121069838.51446 121069840.13498 121069841.7555 0.0 0.0 4787.042565860383 0.0 0.0 0.0
54.0 121069841.7555 121069843.37602001 121069844.99654001 0.0 0.0 4787.042565860383 0.0 0.0 0.0
55.0 121069844.99654 121069846.61706 121069848.23758 0.0 0.0 4787.042565860383 0.0 0.0 0.0
56.0 121069848.23758 121069849.8581 121069851.47862001 0.0 0.0 4787.042565860383 0.0 0.0 0.0
57.0 121069851.47862 121069853.09913999 121069854.71966 0.0 0.0 4787.042565860383 0.0 0.0 0.0
58.0 121069854.71966 121069856.34018001 121069857.9607 0.0 0.0 4787.042565860383 0.0 0.0 0.0
59.0 121069857.9607 121069859.58122 121069861.20174001 0.0 0.0 4787.042565860383 0.0 0.0 0.0
60.0 121069861.20174 121069862.82225999 121069864.44278 0.0 0.0 4787.042565860383 0.0 0.0 0.0
61.0 121069864.44278 121069866.06330001 121069867.68382001 0.0 0.0 4787.042565860383 0.0 0.0 0.0
62.0 121069867.68382 121069869.30434 121069870.92486 0.0 0.0 4787.042565860383 0.0 0.0 0.0
63.0 121069870.92486 121069872.54538 121069874.1659 0.0 0.0 4787.042565860383 0.0 0.0 0.0
64.0 121069874.16589999 121069875.78641999 121069877.40694 0.0 0.0 4787.042565860383 0.0 0.0 0.0
65.0 121069877.40694 121069879.02746001 121069880.64798 0.0 0.0 4787.042565860383 0.0 0.0 0.0
66.0 121069880.64798 121069882.2685 121069883.88902001 0.0 0.0 4787.042565860383 0.0 0.0 0.0
67.0 121069883.88902 121069885.50953999 121069887.13006 0.0 0.0 4787.042565860383 0.0 0.0 0.0
68.0 121069887.13006 121069888.75058001 121069890.37110001 0.0 0.0 4787.042565860383 0.0 0.0 0.0
69.0 121069890.3711 121069891.99162 121069893.61214 0.0 0.0 4787.042565860383 0.0 0.0 0.0
70.0 121069893.61214 121069895.23266 121069896.85318 0.0 0.0 4787.042565860383 0.0 0.0 0.0
71.0 121069896.85317999 121069898.47369999 121069900.09422 0.0 0.0 4787.042565860383 0.0 0.0 0.0
72.0 121069900.09422 121069901.71474001 121069903.33526 0.0 0.0 4787.042565860383 0.0 0.0 0.0
73.0 121069903.33526 121069904.95578 121069906.57630001 0.0 0.0 4787.042565860383 0.0 0.0 0.0
74.0 121069906.5763 121069908.19681999 121069909.81734 0.0 0.0 4787.042565860383 0.0 0.0 0.0
75.0 121069909.81734 121069911.43786001 121069913.05838001 0.0 0.0 4787.042565860383 0.0 0.0 0.0
76.0 121069913.05838 121069914.6789 121069916.29942 0.0 0.0 4787.042565860383 0.0 0.0 0.0
77.0 121069916.29942 121069917.91994 121069919.54046 0.0 0.0 4787.042565860383 0.0 0.0 0.0
78.0 121069919.54046 121069921.16098002 121069922.78150001 0.0 0.0 4787.042565860383 0.0 0.0 0.0
79.0 121069922.7815 121069924.40202 121069926.02254 0.0 0.0 4787.042565860383 0.0 0.0 0.0
80.0 121069926.02254 121069927.64306 121069929.26358001 0.0 0.0 4787.042565860383 0.0 0.0 0.0
81.0 121069929.26358 121069930.88409999 121069932.50462 0.0 0.0 4787.042565860383 0.0 0.0 0.0
82.0 121069932.50462 121069934.12514001 121069935.74566 0.0 0.0 4787.042565860383 0.0 0.0 0.0
83.0 121069935.74565999 121069937.36618 121069938.9867 0.0 0.0 4787.042565860383 0.0 0.0 0.0
84.0 121069938.9867 121069940.60722 121069942.22774 0.0 0.0 4787.042565860383 0.0 0.0 0.0
85.0 121069942.22774 121069943.84826002 121069945.46878001 0.0 0.0 4787.042565860383 0.0 0.0 0.0
86.0 121069945.46878 121069947.0893 121069948.70982 0.0 0.0 4787.042565860383 0.0 0.0 0.0
87.0 121069948.70982 121069950.33034 121069951.95086001 0.0 0.0 4787.042565860383 0.0 0.0 0.0
88.0 121069951.95086 121069953.57137999 121069955.1919 0.0 0.0 4787.042565860383 0.0 0.0 0.0
89.0 121069955.1919 121069956.81242001 121069958.43294 0.0 0.0 4787.042565860383 0.0 0.0 0.0
90.0 121069958.43293999 121069960.05346 121069961.67398 0.0 0.0 4787.042565860383 0.0 0.0 0.0
91.0 121069961.67398 121069963.2945 121069964.91502 0.0 0.0 4787.042565860383 0.0 0.0 0.0
92.0 121069964.91502 121069966.53554001 121069968.15606001 0.0 0.0 4787.042565860383 0.0 0.0 0.0
93.0 121069968.15606 121069969.77658 121069971.3971 0.0 0.0 4787.042565860383 0.0 0.0 0.0
94.0 121069971.3971 121069973.01762 121069974.63814001 0.0 0.0 4787.042565860383 0.0 0.0 0.0
95.0 121069974.63814 121069976.25865999 121069977.87918 0.0 0.0 4787.042565860383 0.0 0.0 0.0
96.0 121069977.87918 121069979.49970001 121069981.12022 0.0 0.0 4787.042565860383 0.0 0.0 0.0
97.0 121069981.12022 121069982.74074 121069984.36126001 0.0 0.0 4787.042565860383 0.0 0.0 0.0
98.0 121069984.36126 121069985.98178 121069987.6023 0.0 0.0 4787.042565860383 0.0 0.0 0.0
99.0 121069987.6023 121069989.22282001 121069990.84334001 0.0 0.0 4787.042565860383 0.0 0.0 0.0
100.0 121069990.84334 121069992.46386 121069994.08438 0.0 0.0 4787.042565860383 0.0 0.0 0.0
