TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 373814111.60307 373814113.22359 373814114.84411 0.0 0.0 3978.4953274731333 0.0 0.0 0.0
2.0 373814114.84411 373814116.46463 373814118.08515 0.0 0.0 3978.4953274731333 0.0 0.0 0.0
3.0 373814118.08515 373814119.70567 373814121.32619 0.0 0.0 3978.4953274731333 0.0 0.0 0.0
4.0 373814121.32619 373814122.94671 373814124.56723 0.0 0.0 3978.4953274731333 0.0 0.0 0.0
5.0 373814124.56723005 373814126.18775004 373814127.80827004 0.0 0.0 3978.4953274731333 0.0 0.0 0.0
6.0 373814127.80827004 373814129.42879003 373814131.04931 0.0 0.0 3978.4953274731333 0.0 0.0 0.0
7.0 373814131.04931 373814132.66983 373814134.29035 0.0 0.0 3978.4953274731333 0.0 0.0 0.0
8.0 373814134.29035 373814135.91087 373814137.53139 0.0 0.0 3978.4953274731333 0.0 0.0 0.0
9.0 373814137.53139 373814139.15191 373814140.77243 0.0 0.0 3978.4953274731333 0.0 0.0 0.0
10.0 373814140.77243 373814142.39295 373814144.01347 0.0 0.0 3978.4953274731333 0.0 0.0 0.0
11.0 373814144.01347 373814145.63399 373814147.25451 0.0 0.0 3978.4953274731333 0.0 0.0 0.0
12.0 373814147.25451005 373814148.87503004 373814150.49555004 0.0 0.0 3978.4953274731333 0.0 0.0 0.0
13.0 373814150.49555004 373814152.11607003 373814153.73659 0.0 0.0 3978.4953274731333 0.0 0.0 0.0
14.0 373814153.73659 373814155.35711 373814156.97763 0.0 0.0 3978.4953274731333 0.0 0.0 0.0
15.0 373814156.97763 373814158.59815 373814160.21867 0.0 0.0 3978.4953274731333 0.0 0.0 0.0
16.0 373814160.21867 373814161.83919 373814163.45971 0.0 0.0 3978.4953274731333 0.0 0.0 0.0
17.0 373814163.45971 373814165.08023 373814166.70075 0.0 0.0 3978.4953274731333 0.0 0.0 0.0
18.0 373814166.70075 373814168.32127 373814169.94179 0.0 0.0 3978.4953274731333 0.0 0.0 0.0
19.0 373814169.94179004 373814171.56231004 373814173.18283004 0.0 0.0 3978.4953274731333 0.0 0.0 0.0
20.0 373814173.18283004 373814174.80335003 373814176.42387 0.0 0.0 3978.4953274731333 0.0 0.0 0.0
21.0 373814176.42387 373814178.04439 373814179.66491 0.0 0.0 3978.4953274731333 0.0 0.0 0.0
22.0 373814179.66491 373814181.28543 373814182.90595 0.0 0.0 3978.4953274731333 0.0 0.0 0.0
23.0 373814182.90595 373814184.52647 373814186.14699 0.0 0.0 3978.4953274731333 0.0 0.0 0.0
