TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 586999800.41106 586999802.03158 586999803.6521 0.0 0.0 578.555703085068 0.0 0.0 0.0
2.0 586999803.6521 586999805.27262 586999806.89314 0.0 0.0 578.555703085068 0.0 0.0 0.0
3.0 586999806.89314 586999808.51366 586999810.13418 0.0 0.0 578.555703085068 0.0 0.0 0.0
4.0 586999810.13418 586999811.7547 586999813.37522 0.0 0.0 578.555703085068 0.0 0.0 0.0
5.0 586999813.37522 586999814.9957399 586999816.6162599 0.0 0.0 578.555703085068 0.0 0.0 0.0
6.0 586999816.6162599 586999818.2367799 586999819.8572999 0.0 0.0 578.555703085068 0.0 0.0 0.0
7.0 586999819.8572999 586999821.4778199 586999823.0983399 0.0 0.0 578.555703085068 0.0 0.0 0.0
8.0 586999823.09834 586999824.71886 586999826.33938 0.0 0.0 578.555703085068 0.0 0.0 0.0
9.0 586999826.33938 586999827.9599 586999829.58042 0.0 0.0 578.555703085068 0.0 0.0 0.0
10.0 586999829.58042 586999831.20094 586999832.82146 0.0 0.0 578.555703085068 0.0 0.0 0.0
11.0 586999832.82146 586999834.44198 586999836.0625 0.0 0.0 578.555703085068 0.0 0.0 0.0
12.0 586999836.0625 586999837.68302 586999839.30354 0.0 0.0 578.555703085068 0.0 0.0 0.0
13.0 586999839.30354 586999840.92406 586999842.54458 0.0 0.0 578.555703085068 0.0 0.0 0.0
14.0 586999842.54458 586999844.1651 586999845.78562 0.0 0.0 578.555703085068 0.0 0.0 0.0
15.0 586999845.78562 586999847.40614 586999849.02666 0.0 0.0 578.555703085068 0.0 0.0 0.0
16.0 586999849.02666 586999850.64718 586999852.2677 0.0 0.0 578.555703085068 0.0 0.0 0.0
17.0 586999852.2677 586999853.88822 586999855.50874 0.0 0.0 578.555703085068 0.0 0.0 0.0
18.0 586999855.50874 586999857.12926 586999858.7497799 0.0 0.0 578.555703085068 0.0 0.0 0.0
19.0 586999858.7497799 586999860.3702999 586999861.9908199 0.0 0.0 578.555703085068 0.0 0.0 0.0
20.0 586999861.9908199 586999863.6113399 586999865.2318599 0.0 0.0 578.555703085068 0.0 0.0 0.0
21.0 586999865.2318599 586999866.8523799 586999868.4728999 0.0 0.0 578.555703085068 0.0 0.0 0.0
22.0 586999868.4729 586999870.09342 586999871.71394 0.0 0.0 578.555703085068 0.0 0.0 0.0
23.0 586999871.71394 586999873.33446 586999874.95498 0.0 0.0 578.555703085068 0.0 0.0 0.0
24.0 586999874.95498 586999876.5755 586999878.19602 0.0 0.0 578.555703085068 0.0 0.0 0.0
25.0 586999878.19602 586999879.81654 586999881.43706 0.0 0.0 578.555703085068 0.0 0.0 0.0
26.0 586999881.43706 586999883.05758 586999884.6781 0.0 0.0 578.555703085068 0.0 0.0 0.0
27.0 586999884.6781 586999886.29862 586999887.91914 0.0 0.0 578.555703085068 0.0 0.0 0.0
28.0 586999887.91914 586999889.53966 586999891.16018 0.0 0.0 578.555703085068 0.0 0.0 0.0
29.0 586999891.16018 586999892.7807 586999894.40122 0.0 0.0 578.555703085068 0.0 0.0 0.0
30.0 586999894.40122 586999896.02174 586999897.64226 0.0 0.0 578.555703085068 0.0 0.0 0.0
31.0 586999897.64226 586999899.26278 586999900.8833 0.0 0.0 578.555703085068 0.0 0.0 0.0
32.0 586999900.8833 586999902.50382 586999904.1243399 0.0 0.0 578.555703085068 0.0 0.0 0.0
33.0 586999904.1243399 586999905.7448599 586999907.3653799 0.0 0.0 578.555703085068 0.0 0.0 0.0
34.0 586999907.3653799 586999908.9858999 586999910.6064199 0.0 0.0 578.555703085068 0.0 0.0 0.0
35.0 586999910.6064199 586999912.2269399 586999913.8474599 0.0 0.0 578.555703085068 0.0 0.0 0.0
36.0 586999913.84746 586999915.46798 586999917.0885 0.0 0.0 578.555703085068 0.0 0.0 0.0
37.0 586999917.0885 586999918.70902 586999920.32954 0.0 0.0 578.555703085068 0.0 0.0 0.0
38.0 586999920.32954 586999921.95006 586999923.57058 0.0 0.0 578.555703085068 0.0 0.0 0.0
39.0 586999923.57058 586999925.1911 586999926.81162 0.0 0.0 578.555703085068 0.0 0.0 0.0
40.0 586999926.81162 586999928.43214 586999930.05266 0.0 0.0 578.555703085068 0.0 0.0 0.0
41.0 586999930.05266 586999931.67318 586999933.2937 0.0 0.0 578.555703085068 0.0 0.0 0.0
42.0 586999933.2937 586999934.91422 586999936.53474 0.0 0.0 578.555703085068 0.0 0.0 0.0
43.0 586999936.53474 586999938.15526 586999939.77578 0.0 0.0 578.555703085068 0.0 0.0 0.0
44.0 586999939.77578 586999941.3963 586999943.01682 0.0 0.0 578.555703085068 0.0 0.0 0.0
45.0 586999943.01682 586999944.63734 586999946.25786 0.0 0.0 578.555703085068 0.0 0.0 0.0
46.0 586999946.25786 586999947.87838 586999949.4988999 0.0 0.0 578.555703085068 0.0 0.0 0.0
47.0 586999949.4988999 586999951.1194199 586999952.7399399 0.0 0.0 578.555703085068 0.0 0.0 0.0
48.0 586999952.7399399 586999954.3604599 586999955.9809799 0.0 0.0 578.555703085068 0.0 0.0 0.0
49.0 586999955.9809799 586999957.6014999 586999959.2220199 0.0 0.0 578.555703085068 0.0 0.0 0.0
50.0 586999959.22202 586999960.84254 586999962.46306 0.0 0.0 578.555703085068 0.0 0.0 0.0
51.0 586999962.46306 586999964.08358 586999965.7041 0.0 0.0 578.555703085068 0.0 0.0 0.0
52.0 586999965.7041 586999967.32462 586999968.94514 0.0 0.0 578.555703085068 0.0 0.0 0.0
53.0 586999968.94514 586999970.56566 586999972.18618 0.0 0.0 578.555703085068 0.0 0.0 0.0
54.0 586999972.18618 586999973.8067 586999975.42722 0.0 0.0 578.555703085068 0.0 0.0 0.0
55.0 586999975.42722 586999977.04774 586999978.66826 0.0 0.0 578.555703085068 0.0 0.0 0.0
56.0 586999978.66826 586999980.28878 586999981.9093 0.0 0.0 578.555703085068 0.0 0.0 0.0
57.0 586999981.9093 586999983.52982 586999985.15034 0.0 0.0 578.555703085068 0.0 0.0 0.0
58.0 586999985.15034 586999986.77086 586999988.39138 0.0 0.0 578.555703085068 0.0 0.0 0.0
59.0 586999988.39138 586999990.0119 586999991.63242 0.0 0.0 578.555703085068 0.0 0.0 0.0
60.0 586999991.63242 586999993.2529399 586999994.8734599 0.0 0.0 578.555703085068 0.0 0.0 0.0
61.0 586999994.8734599 586999996.4939799 586999998.1144999 0.0 0.0 578.555703085068 0.0 0.0 0.0
62.0 586999998.1144999 586999999.7350199 587000001.3555399 0.0 0.0 578.555703085068 0.0 0.0 0.0
63.0 587000001.3555399 587000002.9760599 587000004.5965799 0.0 0.0 578.555703085068 0.0 0.0 0.0
64.0 587000004.59658 587000006.2171 587000007.83762 0.0 0.0 578.555703085068 0.0 0.0 0.0
65.0 587000007.83762 587000009.45814 587000011.07866 0.0 0.0 578.555703085068 0.0 0.0 0.0
66.0 587000011.07866 587000012.69918 587000014.3197 0.0 0.0 578.555703085068 0.0 0.0 0.0
67.0 587000014.3197 587000015.94022 587000017.56074 0.0 0.0 578.555703085068 0.0 0.0 0.0
68.0 587000017.56074 587000019.18126 587000020.80178 0.0 0.0 578.555703085068 0.0 0.0 0.0
69.0 587000020.80178 587000022.4223 587000024.04282 0.0 0.0 578.555703085068 0.0 0.0 0.0
70.0 587000024.04282 587000025.66334 587000027.28386 0.0 0.0 578.555703085068 0.0 0.0 0.0
71.0 587000027.28386 587000028.90438 587000030.5249 0.0 0.0 578.555703085068 0.0 0.0 0.0
72.0 587000030.5249 587000032.14542 587000033.76594 0.0 0.0 578.555703085068 0.0 0.0 0.0
73.0 587000033.76594 587000035.38646 587000037.00698 0.0 0.0 578.555703085068 0.0 0.0 0.0
74.0 587000037.00698 587000038.6274999 587000040.2480199 0.0 0.0 578.555703085068 0.0 0.0 0.0
75.0 587000040.2480199 587000041.8685399 587000043.4890599 0.0 0.0 578.555703085068 0.0 0.0 0.0
76.0 587000043.4890599 587000045.1095799 587000046.7300999 0.0 0.0 578.555703085068 0.0 0.0 0.0
77.0 587000046.7300999 587000048.3506199 587000049.9711399 0.0 0.0 578.555703085068 0.0 0.0 0.0
78.0 587000049.97114 587000051.59166 587000053.21218 0.0 0.0 578.555703085068 0.0 0.0 0.0
79.0 587000053.21218 587000054.8327 587000056.45322 0.0 0.0 578.555703085068 0.0 0.0 0.0
80.0 587000056.45322 587000058.07374 587000059.69426 0.0 0.0 578.555703085068 0.0 0.0 0.0
81.0 587000059.69426 587000061.31478 587000062.9353 0.0 0.0 578.555703085068 0.0 0.0 0.0
82.0 587000062.9353 587000064.55582 587000066.17634 0.0 0.0 578.555703085068 0.0 0.0 0.0
83.0 587000066.17634 587000067.79686 587000069.41738 0.0 0.0 578.555703085068 0.0 0.0 0.0
84.0 587000069.41738 587000071.0379 587000072.65842 0.0 0.0 578.555703085068 0.0 0.0 0.0
85.0 587000072.65842 587000074.27894 587000075.89946 0.0 0.0 578.555703085068 0.0 0.0 0.0
86.0 587000075.89946 587000077.51998 587000079.1405 0.0 0.0 578.555703085068 0.0 0.0 0.0
87.0 587000079.1405 587000080.76102 587000082.38154 0.0 0.0 578.555703085068 0.0 0.0 0.0
88.0 587000082.38154 587000084.0020599 587000085.6225799 0.0 0.0 578.555703085068 0.0 0.0 0.0
89.0 587000085.6225799 587000087.2430999 587000088.8636199 0.0 0.0 578.555703085068 0.0 0.0 0.0
90.0 587000088.8636199 587000090.4841399 587000092.1046599 0.0 0.0 578.555703085068 0.0 0.0 0.0
91.0 587000092.10466 587000093.72518 587000095.3457 0.0 0.0 578.555703085068 0.0 0.0 0.0
92.0 587000095.3457 587000096.96622 587000098.58674 0.0 0.0 578.555703085068 0.0 0.0 0.0
93.0 587000098.58674 587000100.20726 587000101.82778 0.0 0.0 578.555703085068 0.0 0.0 0.0
94.0 587000101.82778 587000103.4483 587000105.06882 0.0 0.0 578.555703085068 0.0 0.0 0.0
95.0 587000105.06882 587000106.68934 587000108.30986 0.0 0.0 578.555703085068 0.0 0.0 0.0
96.0 587000108.30986 587000109.93038 587000111.5509 0.0 0.0 578.555703085068 0.0 0.0 0.0
97.0 587000111.5509 587000113.17142 587000114.79194 0.0 0.0 578.555703085068 0.0 0.0 0.0
98.0 587000114.79194 587000116.41246 587000118.03298 0.0 0.0 578.555703085068 0.0 0.0 0.0
99.0 587000118.03298 587000119.6535 587000121.27402 0.0 0.0 578.555703085068 0.0 0.0 0.0
100.0 587000121.27402 587000122.89454 587000124.51506 0.0 0.0 578.555703085068 0.0 0.0 0.0
101.0 587000124.51506 587000126.13558 587000127.7560999 0.0 0.0 578.555703085068 0.0 0.0 0.0
102.0 587000127.7560999 587000129.3766199 587000130.9971399 0.0 0.0 578.555703085068 0.0 0.0 0.0
103.0 587000130.9971399 587000132.6176599 587000134.2381799 0.0 0.0 578.555703085068 0.0 0.0 0.0
104.0 587000134.2381799 587000135.8586999 587000137.4792199 0.0 0.0 578.555703085068 0.0 0.0 0.0
105.0 587000137.47922 587000139.09974 587000140.72026 0.0 0.0 578.555703085068 0.0 0.0 0.0
106.0 587000140.72026 587000142.34078 587000143.9613 0.0 0.0 578.555703085068 0.0 0.0 0.0
107.0 587000143.9613 587000145.58182 587000147.20234 0.0 0.0 578.555703085068 0.0 0.0 0.0
108.0 587000147.20234 587000148.82286 587000150.44338 0.0 0.0 578.555703085068 0.0 0.0 0.0
109.0 587000150.44338 587000152.0639 587000153.68442 0.0 0.0 578.555703085068 0.0 0.0 0.0
110.0 587000153.68442 587000155.30494 587000156.92546 0.0 0.0 578.555703085068 0.0 0.0 0.0
111.0 587000156.92546 587000158.54598 587000160.1665 0.0 0.0 578.555703085068 0.0 0.0 0.0
112.0 587000160.1665 587000161.78702 587000163.40754 0.0 0.0 578.555703085068 0.0 0.0 0.0
113.0 587000163.40754 587000165.02806 587000166.64858 0.0 0.0 578.555703085068 0.0 0.0 0.0
114.0 587000166.64858 587000168.2691 587000169.88962 0.0 0.0 578.555703085068 0.0 0.0 0.0
115.0 587000169.88962 587000171.51014 587000173.1306599 0.0 0.0 578.555703085068 0.0 0.0 0.0
116.0 587000173.1306599 587000174.7511799 587000176.3716999 0.0 0.0 578.555703085068 0.0 0.0 0.0
117.0 587000176.3716999 587000177.9922199 587000179.6127399 0.0 0.0 578.555703085068 0.0 0.0 0.0
118.0 587000179.6127399 587000181.2332599 587000182.8537799 0.0 0.0 578.555703085068 0.0 0.0 0.0
119.0 587000182.85378 587000184.4743 587000186.09482 0.0 0.0 578.555703085068 0.0 0.0 0.0
120.0 587000186.09482 587000187.71534 587000189.33586 0.0 0.0 578.555703085068 0.0 0.0 0.0
121.0 587000189.33586 587000190.95638 587000192.5769 0.0 0.0 578.555703085068 0.0 0.0 0.0
122.0 587000192.5769 587000194.19742 587000195.81794 0.0 0.0 578.555703085068 0.0 0.0 0.0
123.0 587000195.81794 587000197.43846 587000199.05898 0.0 0.0 578.555703085068 0.0 0.0 0.0
124.0 587000199.05898 587000200.6795 587000202.30002 0.0 0.0 578.555703085068 0.0 0.0 0.0
