TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 379993483.80255 379993485.42307 379993487.04359 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
2.0 379993487.04359 379993488.66411 379993490.28463 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
3.0 379993490.28463 379993491.90515 379993493.52567 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
4.0 379993493.52567 379993495.14619 379993496.76671 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
5.0 379993496.76671004 379993498.38723004 379993500.00775003 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
6.0 379993500.00775003 379993501.62827003 379993503.24879 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
7.0 379993503.24879 379993504.86931 379993506.48983 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
8.0 379993506.48983 379993508.11035 379993509.73087 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
9.0 379993509.73087 379993511.35139 379993512.97191 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
10.0 379993512.97191 379993514.59243 379993516.21295 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
11.0 379993516.21295 379993517.83347 379993519.45399 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
12.0 379993519.45399004 379993521.07451004 379993522.69503003 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
13.0 379993522.69503003 379993524.31555 379993525.93607 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
14.0 379993525.93607 379993527.55659 379993529.17711 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
15.0 379993529.17711 379993530.79763 379993532.41815 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
16.0 379993532.41815 379993534.03867 379993535.65919 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
17.0 379993535.65919 379993537.27971 379993538.90023 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
18.0 379993538.90023 379993540.52075 379993542.14127 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
19.0 379993542.14127004 379993543.76179004 379993545.38231003 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
20.0 379993545.38231003 379993547.00283 379993548.62335 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
21.0 379993548.62335 379993550.24387 379993551.86439 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
22.0 379993551.86439 379993553.48491 379993555.10543 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
23.0 379993555.10543 379993556.72595 379993558.34647 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
24.0 379993558.34647 379993559.96699 379993561.58751 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
25.0 379993561.58751 379993563.20803 379993564.82855 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
26.0 379993564.82855004 379993566.44907004 379993568.06959003 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
27.0 379993568.06959003 379993569.69011 379993571.31063 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
28.0 379993571.31063 379993572.93115 379993574.55167 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
29.0 379993574.55167 379993576.17219 379993577.79271 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
30.0 379993577.79271 379993579.41323 379993581.03375 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
31.0 379993581.03375 379993582.65427 379993584.27479 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
32.0 379993584.27479 379993585.89531 379993587.51583 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
33.0 379993587.51583004 379993589.13635004 379993590.75687003 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
34.0 379993590.75687003 379993592.37739 379993593.99791 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
35.0 379993593.99791 379993595.61843 379993597.23895 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
36.0 379993597.23895 379993598.85947 379993600.47999 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
37.0 379993600.47999 379993602.10051 379993603.72103 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
38.0 379993603.72103 379993605.34155 379993606.96207 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
39.0 379993606.96207 379993608.58259 379993610.20311 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
40.0 379993610.20311004 379993611.82363003 379993613.44415003 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
41.0 379993613.44415003 379993615.06467 379993616.68519 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
42.0 379993616.68519 379993618.30571 379993619.92623 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
43.0 379993619.92623 379993621.54675 379993623.16727 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
44.0 379993623.16727 379993624.78779 379993626.40831 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
45.0 379993626.40831 379993628.02883 379993629.64935 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
46.0 379993629.64935005 379993631.26987004 379993632.89039004 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
47.0 379993632.89039004 379993634.51091003 379993636.13143003 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
48.0 379993636.13143003 379993637.75195 379993639.37247 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
49.0 379993639.37247 379993640.99299 379993642.61351 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
50.0 379993642.61351 379993644.23403 379993645.85455 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
51.0 379993645.85455 379993647.47507 379993649.09559 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
52.0 379993649.09559 379993650.71611 379993652.33663 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
53.0 379993652.33663005 379993653.95715004 379993655.57767004 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
54.0 379993655.57767004 379993657.19819003 379993658.81871 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
55.0 379993658.81871 379993660.43923 379993662.05975 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
56.0 379993662.05975 379993663.68027 379993665.30079 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
57.0 379993665.30079 379993666.92131 379993668.54183 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
58.0 379993668.54183 379993670.16235 379993671.78287 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
59.0 379993671.78287 379993673.40339 379993675.02391 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
60.0 379993675.02391005 379993676.64443004 379993678.26495004 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
61.0 379993678.26495004 379993679.88547003 379993681.50599 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
62.0 379993681.50599 379993683.12651 379993684.74703 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
63.0 379993684.74703 379993686.36755 379993687.98807 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
64.0 379993687.98807 379993689.60859 379993691.22911 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
65.0 379993691.22911 379993692.84963 379993694.47015 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
66.0 379993694.47015 379993696.09067 379993697.71119 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
67.0 379993697.71119004 379993699.33171004 379993700.95223004 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
68.0 379993700.95223004 379993702.57275003 379993704.19327 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
69.0 379993704.19327 379993705.81379 379993707.43431 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
70.0 379993707.43431 379993709.05483 379993710.67535 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
71.0 379993710.67535 379993712.29587 379993713.91639 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
72.0 379993713.91639 379993715.53691 379993717.15743 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
73.0 379993717.15743 379993718.77795 379993720.39847 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
74.0 379993720.39847004 379993722.01899004 379993723.63951004 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
75.0 379993723.63951004 379993725.26003003 379993726.88055 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
76.0 379993726.88055 379993728.50107 379993730.12159 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
77.0 379993730.12159 379993731.74211 379993733.36263 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
78.0 379993733.36263 379993734.98315 379993736.60367 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
79.0 379993736.60367 379993738.22419 379993739.84471 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
80.0 379993739.84471 379993741.46523 379993743.08575 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
81.0 379993743.08575004 379993744.70627004 379993746.32679003 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
82.0 379993746.32679003 379993747.94731003 379993749.56783 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
83.0 379993749.56783 379993751.18835 379993752.80887 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
84.0 379993752.80887 379993754.42939 379993756.04991 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
85.0 379993756.04991 379993757.67043 379993759.29095 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
86.0 379993759.29095 379993760.91147 379993762.53199 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
87.0 379993762.53199 379993764.15251 379993765.77303 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
88.0 379993765.77303004 379993767.39355004 379993769.01407003 0.0 0.0 1640.5255287831783 0.0 0.0 0.0
