TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 516848181.76353 516848183.38405 516848185.00457 0.0 0.0 1777.0262667522613 0.0 0.0 0.0
2.0 516848185.00457 516848186.62509 516848188.24561 0.0 0.0 1777.0262667522613 0.0 0.0 0.0
3.0 516848188.24561 516848189.86613 516848191.48665 0.0 0.0 1777.0262667522613 0.0 0.0 0.0
4.0 516848191.48665 516848193.10717 516848194.72769 0.0 0.0 1777.0262667522613 0.0 0.0 0.0
5.0 516848194.72769004 516848196.34821004 516848197.96873003 0.0 0.0 1777.0262667522613 0.0 0.0 0.0
6.0 516848197.96873003 516848199.58925 516848201.20977 0.0 0.0 1777.0262667522613 0.0 0.0 0.0
7.0 516848201.20977 516848202.83029 516848204.45081 0.0 0.0 1777.0262667522613 0.0 0.0 0.0
8.0 516848204.45081 516848206.07133 516848207.69185 0.0 0.0 1777.0262667522613 0.0 0.0 0.0
9.0 516848207.69185 516848209.31237 516848210.93289 0.0 0.0 1777.0262667522613 0.0 0.0 0.0
10.0 516848210.93289 516848212.55341 516848214.17393 0.0 0.0 1777.0262667522613 0.0 0.0 0.0
11.0 516848214.17393 516848215.79445 516848217.41497 0.0 0.0 1777.0262667522613 0.0 0.0 0.0
12.0 516848217.41497004 516848219.03549004 516848220.65601003 0.0 0.0 1777.0262667522613 0.0 0.0 0.0
13.0 516848220.65601003 516848222.27653 516848223.89705 0.0 0.0 1777.0262667522613 0.0 0.0 0.0
14.0 516848223.89705 516848225.51757 516848227.13809 0.0 0.0 1777.0262667522613 0.0 0.0 0.0
15.0 516848227.13809 516848228.75861 516848230.37913 0.0 0.0 1777.0262667522613 0.0 0.0 0.0
16.0 516848230.37913 516848231.99965 516848233.62017 0.0 0.0 1777.0262667522613 0.0 0.0 0.0
17.0 516848233.62017 516848235.24069 516848236.86121 0.0 0.0 1777.0262667522613 0.0 0.0 0.0
18.0 516848236.86121 516848238.48173 516848240.10225 0.0 0.0 1777.0262667522613 0.0 0.0 0.0
19.0 516848240.10225004 516848241.72277004 516848243.34329003 0.0 0.0 1777.0262667522613 0.0 0.0 0.0
20.0 516848243.34329003 516848244.96381 516848246.58433 0.0 0.0 1777.0262667522613 0.0 0.0 0.0
21.0 516848246.58433 516848248.20485 516848249.82537 0.0 0.0 1777.0262667522613 0.0 0.0 0.0
22.0 516848249.82537 516848251.44589 516848253.06641 0.0 0.0 1777.0262667522613 0.0 0.0 0.0
23.0 516848253.06641 516848254.68693 516848256.30745 0.0 0.0 1777.0262667522613 0.0 0.0 0.0
24.0 516848256.30745 516848257.92797 516848259.54849 0.0 0.0 1777.0262667522613 0.0 0.0 0.0
25.0 516848259.54849 516848261.16901 516848262.78953 0.0 0.0 1777.0262667522613 0.0 0.0 0.0
26.0 516848262.78953004 516848264.41005003 516848266.03057003 0.0 0.0 1777.0262667522613 0.0 0.0 0.0
27.0 516848266.03057003 516848267.65109 516848269.27161 0.0 0.0 1777.0262667522613 0.0 0.0 0.0
28.0 516848269.27161 516848270.89213 516848272.51265 0.0 0.0 1777.0262667522613 0.0 0.0 0.0
29.0 516848272.51265 516848274.13317 516848275.75369 0.0 0.0 1777.0262667522613 0.0 0.0 0.0
30.0 516848275.75369 516848277.37421 516848278.99473 0.0 0.0 1777.0262667522613 0.0 0.0 0.0
