TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 224454264.24634 224454265.86686 224454267.48738 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
2.0 224454267.48738 224454269.1079 224454270.72842 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
3.0 224454270.72842002 224454272.34894 224454273.96946 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
4.0 224454273.96946 224454275.58998 224454277.2105 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
5.0 224454277.2105 224454278.83102 224454280.45154 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
6.0 224454280.45154 224454282.07206 224454283.69257998 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
7.0 224454283.69258 224454285.3131 224454286.93362 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
8.0 224454286.93362 224454288.55414 224454290.17466 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
9.0 224454290.17466 224454291.79518 224454293.4157 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
10.0 224454293.41570002 224454295.03622 224454296.65674 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
11.0 224454296.65674 224454298.27726 224454299.89778 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
12.0 224454299.89778 224454301.5183 224454303.13882 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
13.0 224454303.13882 224454304.75934 224454306.37985998 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
14.0 224454306.37986 224454308.00038 224454309.6209 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
15.0 224454309.6209 224454311.24142 224454312.86194 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
16.0 224454312.86194 224454314.48246 224454316.10298 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
17.0 224454316.10298002 224454317.7235 224454319.34402 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
18.0 224454319.34402 224454320.96454 224454322.58506 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
19.0 224454322.58506 224454324.20558 224454325.8261 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
20.0 224454325.8261 224454327.44662 224454329.06713998 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
21.0 224454329.06714 224454330.68766 224454332.30818 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
22.0 224454332.30818 224454333.9287 224454335.54922 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
23.0 224454335.54922 224454337.16974 224454338.79026 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
24.0 224454338.79026002 224454340.41078 224454342.0313 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
25.0 224454342.0313 224454343.65182 224454345.27234 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
26.0 224454345.27234 224454346.89286 224454348.51338 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
27.0 224454348.51338002 224454350.13390002 224454351.75442 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
28.0 224454351.75442 224454353.37494 224454354.99546 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
29.0 224454354.99546 224454356.61598 224454358.2365 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
30.0 224454358.2365 224454359.85702 224454361.47754 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
31.0 224454361.47754002 224454363.09806 224454364.71858 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
32.0 224454364.71858 224454366.3391 224454367.95962 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
33.0 224454367.95962 224454369.58014 224454371.20066 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
34.0 224454371.20066002 224454372.82118002 224454374.4417 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
35.0 224454374.4417 224454376.06222 224454377.68274 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
36.0 224454377.68274 224454379.30326 224454380.92378 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
37.0 224454380.92378 224454382.5443 224454384.16482 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
38.0 224454384.16482002 224454385.78534 224454387.40586 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
39.0 224454387.40586 224454389.02638 224454390.6469 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
40.0 224454390.6469 224454392.26742 224454393.88794 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
41.0 224454393.88794002 224454395.50846002 224454397.12898 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
42.0 224454397.12898 224454398.7495 224454400.37002 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
43.0 224454400.37002 224454401.99054 224454403.61106 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
44.0 224454403.61106 224454405.23158 224454406.85209998 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
45.0 224454406.8521 224454408.47262 224454410.09314 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
46.0 224454410.09314 224454411.71366 224454413.33418 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
47.0 224454413.33418 224454414.9547 224454416.57522 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
48.0 224454416.57522002 224454418.19574 224454419.81626 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
49.0 224454419.81626 224454421.43678 224454423.0573 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
50.0 224454423.0573 224454424.67782 224454426.29834 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
51.0 224454426.29834 224454427.91886 224454429.53937998 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
52.0 224454429.53938 224454431.1599 224454432.78042 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
53.0 224454432.78042 224454434.40094 224454436.02146 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
54.0 224454436.02146 224454437.64198 224454439.2625 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
55.0 224454439.26250002 224454440.88302 224454442.50354 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
56.0 224454442.50354 224454444.12406 224454445.74458 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
57.0 224454445.74458 224454447.3651 224454448.98562 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
58.0 224454448.98562 224454450.60614 224454452.22665998 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
59.0 224454452.22666 224454453.84718 224454455.4677 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
60.0 224454455.4677 224454457.08822 224454458.70874 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
61.0 224454458.70874 224454460.32926 224454461.94978 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
62.0 224454461.94978002 224454463.5703 224454465.19082 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
63.0 224454465.19082 224454466.81134 224454468.43186 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
64.0 224454468.43186 224454470.05238 224454471.6729 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
65.0 224454471.67290002 224454473.29342002 224454474.91394 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
66.0 224454474.91394 224454476.53446 224454478.15498 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
67.0 224454478.15498 224454479.7755 224454481.39602 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
68.0 224454481.39602 224454483.01654 224454484.63706 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
69.0 224454484.63706002 224454486.25758 224454487.8781 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
70.0 224454487.8781 224454489.49862 224454491.11914 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
71.0 224454491.11914 224454492.73966 224454494.36018 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
72.0 224454494.36018002 224454495.98070002 224454497.60122 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
73.0 224454497.60122 224454499.22174 224454500.84226 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
74.0 224454500.84226 224454502.46278 224454504.0833 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
75.0 224454504.0833 224454505.70382 224454507.32434 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
76.0 224454507.32434002 224454508.94486 224454510.56538 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
77.0 224454510.56538 224454512.1859 224454513.80642 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
78.0 224454513.80642 224454515.42694 224454517.04746 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
79.0 224454517.04746002 224454518.66798002 224454520.2885 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
80.0 224454520.2885 224454521.90902 224454523.52954 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
81.0 224454523.52954 224454525.15006 224454526.77058 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
82.0 224454526.77058 224454528.3911 224454530.01162 0.0 0.0 2512.6698162454827 0.0 0.0 0.0
