TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 195387453.88883 195387455.50935 195387457.12987 0.0 0.0 4464.296374804468 0.0 0.0 0.0
2.0 195387457.12987 195387458.75039 195387460.37091 0.0 0.0 4464.296374804468 0.0 0.0 0.0
3.0 195387460.37091002 195387461.99143 195387463.61195 0.0 0.0 4464.296374804468 0.0 0.0 0.0
4.0 195387463.61195 195387465.23247 195387466.85299 0.0 0.0 4464.296374804468 0.0 0.0 0.0
5.0 195387466.85299 195387468.47351 195387470.09403 0.0 0.0 4464.296374804468 0.0 0.0 0.0
6.0 195387470.09403 195387471.71455 195387473.33506998 0.0 0.0 4464.296374804468 0.0 0.0 0.0
7.0 195387473.33507 195387474.95559 195387476.57611 0.0 0.0 4464.296374804468 0.0 0.0 0.0
8.0 195387476.57611 195387478.19663 195387479.81715 0.0 0.0 4464.296374804468 0.0 0.0 0.0
9.0 195387479.81715 195387481.43767 195387483.05819 0.0 0.0 4464.296374804468 0.0 0.0 0.0
10.0 195387483.05819002 195387484.67871 195387486.29923 0.0 0.0 4464.296374804468 0.0 0.0 0.0
11.0 195387486.29923 195387487.91975 195387489.54027 0.0 0.0 4464.296374804468 0.0 0.0 0.0
12.0 195387489.54027 195387491.16079 195387492.78131 0.0 0.0 4464.296374804468 0.0 0.0 0.0
13.0 195387492.78131 195387494.40183 195387496.02234998 0.0 0.0 4464.296374804468 0.0 0.0 0.0
14.0 195387496.02235 195387497.64287 195387499.26339 0.0 0.0 4464.296374804468 0.0 0.0 0.0
15.0 195387499.26339 195387500.88391 195387502.50443 0.0 0.0 4464.296374804468 0.0 0.0 0.0
16.0 195387502.50443 195387504.12495 195387505.74547 0.0 0.0 4464.296374804468 0.0 0.0 0.0
17.0 195387505.74547002 195387507.36599 195387508.98651 0.0 0.0 4464.296374804468 0.0 0.0 0.0
18.0 195387508.98651 195387510.60703 195387512.22755 0.0 0.0 4464.296374804468 0.0 0.0 0.0
19.0 195387512.22755 195387513.84807 195387515.46859 0.0 0.0 4464.296374804468 0.0 0.0 0.0
20.0 195387515.46859 195387517.08911 195387518.70962998 0.0 0.0 4464.296374804468 0.0 0.0 0.0
21.0 195387518.70963 195387520.33015 195387521.95067 0.0 0.0 4464.296374804468 0.0 0.0 0.0
22.0 195387521.95067 195387523.57119 195387525.19171 0.0 0.0 4464.296374804468 0.0 0.0 0.0
23.0 195387525.19171 195387526.81223 195387528.43275 0.0 0.0 4464.296374804468 0.0 0.0 0.0
24.0 195387528.43275002 195387530.05327 195387531.67379 0.0 0.0 4464.296374804468 0.0 0.0 0.0
25.0 195387531.67379 195387533.29431 195387534.91483 0.0 0.0 4464.296374804468 0.0 0.0 0.0
26.0 195387534.91483 195387536.53535 195387538.15587 0.0 0.0 4464.296374804468 0.0 0.0 0.0
27.0 195387538.15587002 195387539.77639002 195387541.39691 0.0 0.0 4464.296374804468 0.0 0.0 0.0
28.0 195387541.39691 195387543.01743 195387544.63795 0.0 0.0 4464.296374804468 0.0 0.0 0.0
29.0 195387544.63795 195387546.25847 195387547.87899 0.0 0.0 4464.296374804468 0.0 0.0 0.0
30.0 195387547.87899 195387549.49951 195387551.12003 0.0 0.0 4464.296374804468 0.0 0.0 0.0
31.0 195387551.12003002 195387552.74055 195387554.36107 0.0 0.0 4464.296374804468 0.0 0.0 0.0
32.0 195387554.36107 195387555.98159 195387557.60211 0.0 0.0 4464.296374804468 0.0 0.0 0.0
33.0 195387557.60211 195387559.22263 195387560.84315 0.0 0.0 4464.296374804468 0.0 0.0 0.0
34.0 195387560.84315002 195387562.46367002 195387564.08419 0.0 0.0 4464.296374804468 0.0 0.0 0.0
35.0 195387564.08419 195387565.70471 195387567.32523 0.0 0.0 4464.296374804468 0.0 0.0 0.0
36.0 195387567.32523 195387568.94575 195387570.56627 0.0 0.0 4464.296374804468 0.0 0.0 0.0
37.0 195387570.56627 195387572.18679 195387573.80731 0.0 0.0 4464.296374804468 0.0 0.0 0.0
38.0 195387573.80731001 195387575.42783 195387577.04835 0.0 0.0 4464.296374804468 0.0 0.0 0.0
39.0 195387577.04835 195387578.66887 195387580.28939 0.0 0.0 4464.296374804468 0.0 0.0 0.0
40.0 195387580.28939 195387581.90991 195387583.53043 0.0 0.0 4464.296374804468 0.0 0.0 0.0
41.0 195387583.53043002 195387585.15095 195387586.77147 0.0 0.0 4464.296374804468 0.0 0.0 0.0
42.0 195387586.77147 195387588.39199 195387590.01251 0.0 0.0 4464.296374804468 0.0 0.0 0.0
43.0 195387590.01251 195387591.63303 195387593.25355 0.0 0.0 4464.296374804468 0.0 0.0 0.0
44.0 195387593.25355 195387594.87407 195387596.49458998 0.0 0.0 4464.296374804468 0.0 0.0 0.0
45.0 195387596.49459 195387598.11511 195387599.73563 0.0 0.0 4464.296374804468 0.0 0.0 0.0
46.0 195387599.73563 195387601.35615 195387602.97667 0.0 0.0 4464.296374804468 0.0 0.0 0.0
47.0 195387602.97667 195387604.59719 195387606.21771 0.0 0.0 4464.296374804468 0.0 0.0 0.0
48.0 195387606.21771002 195387607.83823 195387609.45875 0.0 0.0 4464.296374804468 0.0 0.0 0.0
49.0 195387609.45875 195387611.07927 195387612.69979 0.0 0.0 4464.296374804468 0.0 0.0 0.0
50.0 195387612.69979 195387614.32031 195387615.94083 0.0 0.0 4464.296374804468 0.0 0.0 0.0
51.0 195387615.94083 195387617.56135 195387619.18186998 0.0 0.0 4464.296374804468 0.0 0.0 0.0
52.0 195387619.18187 195387620.80239 195387622.42291 0.0 0.0 4464.296374804468 0.0 0.0 0.0
53.0 195387622.42291 195387624.04343 195387625.66395 0.0 0.0 4464.296374804468 0.0 0.0 0.0
54.0 195387625.66395 195387627.28447 195387628.90499 0.0 0.0 4464.296374804468 0.0 0.0 0.0
55.0 195387628.90499002 195387630.52551 195387632.14603 0.0 0.0 4464.296374804468 0.0 0.0 0.0
56.0 195387632.14603 195387633.76655 195387635.38707 0.0 0.0 4464.296374804468 0.0 0.0 0.0
57.0 195387635.38707 195387637.00759 195387638.62811 0.0 0.0 4464.296374804468 0.0 0.0 0.0
58.0 195387638.62811 195387640.24863 195387641.86914998 0.0 0.0 4464.296374804468 0.0 0.0 0.0
59.0 195387641.86915 195387643.48967 195387645.11019 0.0 0.0 4464.296374804468 0.0 0.0 0.0
60.0 195387645.11019 195387646.73071 195387648.35123 0.0 0.0 4464.296374804468 0.0 0.0 0.0
61.0 195387648.35123 195387649.97175 195387651.59227 0.0 0.0 4464.296374804468 0.0 0.0 0.0
62.0 195387651.59227002 195387653.21279 195387654.83331 0.0 0.0 4464.296374804468 0.0 0.0 0.0
63.0 195387654.83331 195387656.45383 195387658.07435 0.0 0.0 4464.296374804468 0.0 0.0 0.0
64.0 195387658.07435 195387659.69487 195387661.31539 0.0 0.0 4464.296374804468 0.0 0.0 0.0
65.0 195387661.31539002 195387662.93591002 195387664.55643 0.0 0.0 4464.296374804468 0.0 0.0 0.0
66.0 195387664.55643 195387666.17695 195387667.79747 0.0 0.0 4464.296374804468 0.0 0.0 0.0
67.0 195387667.79747 195387669.41799 195387671.03851 0.0 0.0 4464.296374804468 0.0 0.0 0.0
68.0 195387671.03851 195387672.65903 195387674.27955 0.0 0.0 4464.296374804468 0.0 0.0 0.0
