TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 325886144.19336 325886145.81387997 325886147.43439996 0.0 0.0 6966.018168678355 0.0 0.0 0.0
2.0 325886147.43439996 325886149.05491996 325886150.67543995 0.0 0.0 6966.018168678355 0.0 0.0 0.0
3.0 325886150.67543995 325886152.29595995 325886153.91647995 0.0 0.0 6966.018168678355 0.0 0.0 0.0
4.0 325886153.91647995 325886155.53699994 325886157.15751994 0.0 0.0 6966.018168678355 0.0 0.0 0.0
5.0 325886157.15752 325886158.77804 325886160.39856 0.0 0.0 6966.018168678355 0.0 0.0 0.0
6.0 325886160.39856 325886162.01908 325886163.6396 0.0 0.0 6966.018168678355 0.0 0.0 0.0
7.0 325886163.6396 325886165.26012 325886166.88064 0.0 0.0 6966.018168678355 0.0 0.0 0.0
8.0 325886166.88064 325886168.50115997 325886170.12167996 0.0 0.0 6966.018168678355 0.0 0.0 0.0
9.0 325886170.12167996 325886171.74219996 325886173.36271995 0.0 0.0 6966.018168678355 0.0 0.0 0.0
10.0 325886173.36271995 325886174.98323995 325886176.60375994 0.0 0.0 6966.018168678355 0.0 0.0 0.0
11.0 325886176.60375994 325886178.22427994 325886179.84479994 0.0 0.0 6966.018168678355 0.0 0.0 0.0
12.0 325886179.8448 325886181.46532 325886183.08584 0.0 0.0 6966.018168678355 0.0 0.0 0.0
13.0 325886183.08584 325886184.70636 325886186.32688 0.0 0.0 6966.018168678355 0.0 0.0 0.0
14.0 325886186.32688 325886187.9474 325886189.56791997 0.0 0.0 6966.018168678355 0.0 0.0 0.0
15.0 325886189.56791997 325886191.18843997 325886192.80895996 0.0 0.0 6966.018168678355 0.0 0.0 0.0
16.0 325886192.80895996 325886194.42947996 325886196.04999995 0.0 0.0 6966.018168678355 0.0 0.0 0.0
17.0 325886196.04999995 325886197.67051995 325886199.29103994 0.0 0.0 6966.018168678355 0.0 0.0 0.0
18.0 325886199.29103994 325886200.91155994 325886202.53207994 0.0 0.0 6966.018168678355 0.0 0.0 0.0
19.0 325886202.53208 325886204.1526 325886205.77312 0.0 0.0 6966.018168678355 0.0 0.0 0.0
20.0 325886205.77312 325886207.39364 325886209.01416 0.0 0.0 6966.018168678355 0.0 0.0 0.0
21.0 325886209.01416 325886210.63468 325886212.25519997 0.0 0.0 6966.018168678355 0.0 0.0 0.0
22.0 325886212.25519997 325886213.87571996 325886215.49623996 0.0 0.0 6966.018168678355 0.0 0.0 0.0
23.0 325886215.49623996 325886217.11675996 325886218.73727995 0.0 0.0 6966.018168678355 0.0 0.0 0.0
24.0 325886218.73727995 325886220.35779995 325886221.97831994 0.0 0.0 6966.018168678355 0.0 0.0 0.0
25.0 325886221.97831994 325886223.59883994 325886225.21935993 0.0 0.0 6966.018168678355 0.0 0.0 0.0
26.0 325886225.21936 325886226.83988 325886228.4604 0.0 0.0 6966.018168678355 0.0 0.0 0.0
27.0 325886228.4604 325886230.08092 325886231.70144 0.0 0.0 6966.018168678355 0.0 0.0 0.0
28.0 325886231.70144 325886233.32196 325886234.94247997 0.0 0.0 6966.018168678355 0.0 0.0 0.0
29.0 325886234.94247997 325886236.56299996 325886238.18351996 0.0 0.0 6966.018168678355 0.0 0.0 0.0
30.0 325886238.18351996 325886239.80403996 325886241.42455995 0.0 0.0 6966.018168678355 0.0 0.0 0.0
31.0 325886241.42455995 325886243.04507995 325886244.66559994 0.0 0.0 6966.018168678355 0.0 0.0 0.0
32.0 325886244.66559994 325886246.28611994 325886247.90663993 0.0 0.0 6966.018168678355 0.0 0.0 0.0
33.0 325886247.90664 325886249.52716 325886251.14768 0.0 0.0 6966.018168678355 0.0 0.0 0.0
34.0 325886251.14768 325886252.7682 325886254.38872 0.0 0.0 6966.018168678355 0.0 0.0 0.0
35.0 325886254.38872 325886256.00924 325886257.62975997 0.0 0.0 6966.018168678355 0.0 0.0 0.0
36.0 325886257.62975997 325886259.25027996 325886260.87079996 0.0 0.0 6966.018168678355 0.0 0.0 0.0
37.0 325886260.87079996 325886262.49131995 325886264.11183995 0.0 0.0 6966.018168678355 0.0 0.0 0.0
38.0 325886264.11183995 325886265.73235995 325886267.35287994 0.0 0.0 6966.018168678355 0.0 0.0 0.0
39.0 325886267.35287994 325886268.97339994 325886270.59391993 0.0 0.0 6966.018168678355 0.0 0.0 0.0
40.0 325886270.59392 325886272.21444 325886273.83496 0.0 0.0 6966.018168678355 0.0 0.0 0.0
41.0 325886273.83496 325886275.45548 325886277.076 0.0 0.0 6966.018168678355 0.0 0.0 0.0
42.0 325886277.076 325886278.69652 325886280.31703997 0.0 0.0 6966.018168678355 0.0 0.0 0.0
43.0 325886280.31703997 325886281.93755996 325886283.55807996 0.0 0.0 6966.018168678355 0.0 0.0 0.0
44.0 325886283.55807996 325886285.17859995 325886286.79911995 0.0 0.0 6966.018168678355 0.0 0.0 0.0
45.0 325886286.79911995 325886288.41963995 325886290.04015994 0.0 0.0 6966.018168678355 0.0 0.0 0.0
46.0 325886290.04016 325886291.66068 325886293.2812 0.0 0.0 6966.018168678355 0.0 0.0 0.0
47.0 325886293.2812 325886294.90172 325886296.52224 0.0 0.0 6966.018168678355 0.0 0.0 0.0
48.0 325886296.52224 325886298.14276 325886299.76328 0.0 0.0 6966.018168678355 0.0 0.0 0.0
49.0 325886299.76328 325886301.38379997 325886303.00431997 0.0 0.0 6966.018168678355 0.0 0.0 0.0
