TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 224224873.33596 224224874.95648 224224876.577 0.0 0.0 3574.590452237025 0.0 0.0 0.0
2.0 224224876.577 224224878.19752 224224879.81803998 0.0 0.0 3574.590452237025 0.0 0.0 0.0
3.0 224224879.81804 224224881.43856 224224883.05908 0.0 0.0 3574.590452237025 0.0 0.0 0.0
4.0 224224883.05908 224224884.6796 224224886.30012 0.0 0.0 3574.590452237025 0.0 0.0 0.0
5.0 224224886.30012 224224887.92064 224224889.54116 0.0 0.0 3574.590452237025 0.0 0.0 0.0
6.0 224224889.54116 224224891.16167998 224224892.78219998 0.0 0.0 3574.590452237025 0.0 0.0 0.0
7.0 224224892.7822 224224894.40272 224224896.02324 0.0 0.0 3574.590452237025 0.0 0.0 0.0
8.0 224224896.02324 224224897.64376 224224899.26428 0.0 0.0 3574.590452237025 0.0 0.0 0.0
9.0 224224899.26428 224224900.8848 224224902.50531998 0.0 0.0 3574.590452237025 0.0 0.0 0.0
10.0 224224902.50532 224224904.12584 224224905.74636 0.0 0.0 3574.590452237025 0.0 0.0 0.0
11.0 224224905.74636 224224907.36688 224224908.9874 0.0 0.0 3574.590452237025 0.0 0.0 0.0
12.0 224224908.9874 224224910.60792 224224912.22844 0.0 0.0 3574.590452237025 0.0 0.0 0.0
13.0 224224912.22844 224224913.84895998 224224915.46947998 0.0 0.0 3574.590452237025 0.0 0.0 0.0
14.0 224224915.46948 224224917.09 224224918.71052 0.0 0.0 3574.590452237025 0.0 0.0 0.0
15.0 224224918.71052 224224920.33104 224224921.95156 0.0 0.0 3574.590452237025 0.0 0.0 0.0
16.0 224224921.95156 224224923.57208 224224925.19259998 0.0 0.0 3574.590452237025 0.0 0.0 0.0
17.0 224224925.1926 224224926.81312 224224928.43364 0.0 0.0 3574.590452237025 0.0 0.0 0.0
18.0 224224928.43364 224224930.05416 224224931.67468 0.0 0.0 3574.590452237025 0.0 0.0 0.0
19.0 224224931.67468 224224933.2952 224224934.91572 0.0 0.0 3574.590452237025 0.0 0.0 0.0
