TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 411308464.89095 411308466.51147 411308468.13199 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
2.0 411308468.13199 411308469.75251 411308471.37303 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
3.0 411308471.37303 411308472.99355 411308474.61407 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
4.0 411308474.61407 411308476.23459 411308477.85511 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
5.0 411308477.85511005 411308479.47563004 411308481.09615004 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
6.0 411308481.09615004 411308482.71667004 411308484.33719003 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
7.0 411308484.33719003 411308485.95771 411308487.57823 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
8.0 411308487.57823 411308489.19875 411308490.81927 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
9.0 411308490.81927 411308492.43979 411308494.06031 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
10.0 411308494.06031 411308495.68083 411308497.30135 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
11.0 411308497.30135 411308498.92187 411308500.54239 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
12.0 411308500.54239005 411308502.16291004 411308503.78343004 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
13.0 411308503.78343004 411308505.40395004 411308507.02447003 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
14.0 411308507.02447003 411308508.64499 411308510.26551 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
15.0 411308510.26551 411308511.88603 411308513.50655 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
16.0 411308513.50655 411308515.12707 411308516.74759 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
17.0 411308516.74759 411308518.36811 411308519.98863 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
18.0 411308519.98863 411308521.60915 411308523.22967 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
19.0 411308523.22967005 411308524.85019004 411308526.47071004 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
20.0 411308526.47071004 411308528.09123003 411308529.71175003 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
21.0 411308529.71175003 411308531.33227 411308532.95279 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
22.0 411308532.95279 411308534.57331 411308536.19383 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
23.0 411308536.19383 411308537.81435 411308539.43487 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
24.0 411308539.43487 411308541.05539 411308542.67591 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
25.0 411308542.67591 411308544.29643 411308545.91695 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
26.0 411308545.91695005 411308547.53747004 411308549.15799004 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
27.0 411308549.15799004 411308550.77851003 411308552.39903 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
28.0 411308552.39903 411308554.01955 411308555.64007 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
29.0 411308555.64007 411308557.26059 411308558.88111 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
30.0 411308558.88111 411308560.50163 411308562.12215 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
31.0 411308562.12215 411308563.74267 411308565.36319 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
32.0 411308565.36319 411308566.98371 411308568.60423 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
33.0 411308568.60423005 411308570.22475004 411308571.84527004 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
34.0 411308571.84527004 411308573.46579003 411308575.08631 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
35.0 411308575.08631 411308576.70683 411308578.32735 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
36.0 411308578.32735 411308579.94787 411308581.56839 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
37.0 411308581.56839 411308583.18891 411308584.80943 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
38.0 411308584.80943 411308586.42995 411308588.05047 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
39.0 411308588.05047 411308589.67099 411308591.29151 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
40.0 411308591.29151005 411308592.91203004 411308594.53255004 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
41.0 411308594.53255004 411308596.15307003 411308597.77359 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
42.0 411308597.77359 411308599.39411 411308601.01463 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
43.0 411308601.01463 411308602.63515 411308604.25567 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
44.0 411308604.25567 411308605.87619 411308607.49671 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
45.0 411308607.49671 411308609.11723 411308610.73775 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
46.0 411308610.73775005 411308612.35827005 411308613.97879004 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
47.0 411308613.97879004 411308615.59931004 411308617.21983004 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
48.0 411308617.21983004 411308618.84035003 411308620.46087 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
49.0 411308620.46087 411308622.08139 411308623.70191 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
50.0 411308623.70191 411308625.32243 411308626.94295 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
51.0 411308626.94295 411308628.56347 411308630.18399 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
52.0 411308630.18399 411308631.80451 411308633.42503 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
53.0 411308633.42503005 411308635.04555005 411308636.66607004 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
54.0 411308636.66607004 411308638.28659004 411308639.90711004 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
55.0 411308639.90711004 411308641.52763003 411308643.14815 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
56.0 411308643.14815 411308644.76867 411308646.38919 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
57.0 411308646.38919 411308648.00971 411308649.63023 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
58.0 411308649.63023 411308651.25075 411308652.87127 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
59.0 411308652.87127 411308654.49179 411308656.11231 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
60.0 411308656.11231005 411308657.73283005 411308659.35335004 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
61.0 411308659.35335004 411308660.97387004 411308662.59439003 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
62.0 411308662.59439003 411308664.21491003 411308665.83543 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
63.0 411308665.83543 411308667.45595 411308669.07647 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
64.0 411308669.07647 411308670.69699 411308672.31751 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
65.0 411308672.31751 411308673.93803 411308675.55855 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
66.0 411308675.55855 411308677.17907 411308678.79959 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
67.0 411308678.79959005 411308680.42011005 411308682.04063004 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
68.0 411308682.04063004 411308683.66115004 411308685.28167003 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
69.0 411308685.28167003 411308686.90219 411308688.52271 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
70.0 411308688.52271 411308690.14323 411308691.76375 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
71.0 411308691.76375 411308693.38427 411308695.00479 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
72.0 411308695.00479 411308696.62531 411308698.24583 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
73.0 411308698.24583 411308699.86635 411308701.48687 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
74.0 411308701.48687005 411308703.10739005 411308704.72791004 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
75.0 411308704.72791004 411308706.34843004 411308707.96895003 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
76.0 411308707.96895003 411308709.58947 411308711.20999 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
77.0 411308711.20999 411308712.83051 411308714.45103 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
78.0 411308714.45103 411308716.07155 411308717.69207 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
79.0 411308717.69207 411308719.31259 411308720.93311 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
80.0 411308720.93311 411308722.55363 411308724.17415 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
81.0 411308724.17415005 411308725.79467005 411308727.41519004 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
82.0 411308727.41519004 411308729.03571004 411308730.65623003 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
83.0 411308730.65623003 411308732.27675 411308733.89727 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
84.0 411308733.89727 411308735.51779 411308737.13831 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
85.0 411308737.13831 411308738.75883 411308740.37935 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
86.0 411308740.37935 411308741.99987 411308743.62039 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
87.0 411308743.62039 411308745.24091 411308746.86143 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
88.0 411308746.86143005 411308748.48195004 411308750.10247004 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
89.0 411308750.10247004 411308751.72299004 411308753.34351003 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
90.0 411308753.34351003 411308754.96403 411308756.58455 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
91.0 411308756.58455 411308758.20507 411308759.82559 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
92.0 411308759.82559 411308761.44611 411308763.06663 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
93.0 411308763.06663 411308764.68715 411308766.30767 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
94.0 411308766.30767 411308767.92819 411308769.54871 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
95.0 411308769.54871005 411308771.16923004 411308772.78975004 0.0 0.0 1591.3996007880178 0.0 0.0 0.0
