TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 307261375.15351 307261376.77402997 307261378.39454997 0.0 0.0 104.15258742310387 0.0 0.0 0.0
2.0 307261378.39454997 307261380.01506996 307261381.63558996 0.0 0.0 104.15258742310387 0.0 0.0 0.0
3.0 307261381.63558996 307261383.25610995 307261384.87662995 0.0 0.0 104.15258742310387 0.0 0.0 0.0
4.0 307261384.87662995 307261386.49714994 307261388.11766994 0.0 0.0 104.15258742310387 0.0 0.0 0.0
5.0 307261388.11767 307261389.73819 307261391.35871 0.0 0.0 104.15258742310387 0.0 0.0 0.0
6.0 307261391.35871 307261392.97923 307261394.59975 0.0 0.0 104.15258742310387 0.0 0.0 0.0
7.0 307261394.59975 307261396.22027 307261397.84079 0.0 0.0 104.15258742310387 0.0 0.0 0.0
8.0 307261397.84079 307261399.46130997 307261401.08182997 0.0 0.0 104.15258742310387 0.0 0.0 0.0
9.0 307261401.08182997 307261402.70234996 307261404.32286996 0.0 0.0 104.15258742310387 0.0 0.0 0.0
10.0 307261404.32286996 307261405.94338995 307261407.56390995 0.0 0.0 104.15258742310387 0.0 0.0 0.0
11.0 307261407.56390995 307261409.18442994 307261410.80494994 0.0 0.0 104.15258742310387 0.0 0.0 0.0
12.0 307261410.80495 307261412.42547 307261414.04599 0.0 0.0 104.15258742310387 0.0 0.0 0.0
13.0 307261414.04599 307261415.66651 307261417.28703 0.0 0.0 104.15258742310387 0.0 0.0 0.0
14.0 307261417.28703 307261418.90755 307261420.52807 0.0 0.0 104.15258742310387 0.0 0.0 0.0
15.0 307261420.52807 307261422.14858997 307261423.76910996 0.0 0.0 104.15258742310387 0.0 0.0 0.0
16.0 307261423.76910996 307261425.38962996 307261427.01014996 0.0 0.0 104.15258742310387 0.0 0.0 0.0
17.0 307261427.01014996 307261428.63066995 307261430.25118995 0.0 0.0 104.15258742310387 0.0 0.0 0.0
18.0 307261430.25118995 307261431.87170994 307261433.49222994 0.0 0.0 104.15258742310387 0.0 0.0 0.0
19.0 307261433.49223 307261435.11275 307261436.73327 0.0 0.0 104.15258742310387 0.0 0.0 0.0
20.0 307261436.73327 307261438.35379 307261439.97431 0.0 0.0 104.15258742310387 0.0 0.0 0.0
21.0 307261439.97431 307261441.59483 307261443.21535 0.0 0.0 104.15258742310387 0.0 0.0 0.0
22.0 307261443.21535 307261444.83586997 307261446.45638996 0.0 0.0 104.15258742310387 0.0 0.0 0.0
23.0 307261446.45638996 307261448.07690996 307261449.69742996 0.0 0.0 104.15258742310387 0.0 0.0 0.0
24.0 307261449.69742996 307261451.31794995 307261452.93846995 0.0 0.0 104.15258742310387 0.0 0.0 0.0
25.0 307261452.93846995 307261454.55898994 307261456.17950994 0.0 0.0 104.15258742310387 0.0 0.0 0.0
26.0 307261456.17951 307261457.80003 307261459.42055 0.0 0.0 104.15258742310387 0.0 0.0 0.0
27.0 307261459.42055 307261461.04107 307261462.66159 0.0 0.0 104.15258742310387 0.0 0.0 0.0
28.0 307261462.66159 307261464.28211 307261465.90263 0.0 0.0 104.15258742310387 0.0 0.0 0.0
29.0 307261465.90263 307261467.52314997 307261469.14366996 0.0 0.0 104.15258742310387 0.0 0.0 0.0
30.0 307261469.14366996 307261470.76418996 307261472.38470995 0.0 0.0 104.15258742310387 0.0 0.0 0.0
31.0 307261472.38470995 307261474.00522995 307261475.62574995 0.0 0.0 104.15258742310387 0.0 0.0 0.0
32.0 307261475.62574995 307261477.24626994 307261478.86678994 0.0 0.0 104.15258742310387 0.0 0.0 0.0
33.0 307261478.86679 307261480.48731 307261482.10783 0.0 0.0 104.15258742310387 0.0 0.0 0.0
34.0 307261482.10783 307261483.72835 307261485.34887 0.0 0.0 104.15258742310387 0.0 0.0 0.0
35.0 307261485.34887 307261486.96939 307261488.58991 0.0 0.0 104.15258742310387 0.0 0.0 0.0
36.0 307261488.58991 307261490.21042997 307261491.83094996 0.0 0.0 104.15258742310387 0.0 0.0 0.0
37.0 307261491.83094996 307261493.45146996 307261495.07198995 0.0 0.0 104.15258742310387 0.0 0.0 0.0
38.0 307261495.07198995 307261496.69250995 307261498.31302994 0.0 0.0 104.15258742310387 0.0 0.0 0.0
39.0 307261498.31302994 307261499.93354994 307261501.55406994 0.0 0.0 104.15258742310387 0.0 0.0 0.0
40.0 307261501.55407 307261503.17459 307261504.79511 0.0 0.0 104.15258742310387 0.0 0.0 0.0
41.0 307261504.79511 307261506.41563 307261508.03615 0.0 0.0 104.15258742310387 0.0 0.0 0.0
42.0 307261508.03615 307261509.65667 307261511.27718997 0.0 0.0 104.15258742310387 0.0 0.0 0.0
43.0 307261511.27718997 307261512.89770997 307261514.51822996 0.0 0.0 104.15258742310387 0.0 0.0 0.0
44.0 307261514.51822996 307261516.13874996 307261517.75926995 0.0 0.0 104.15258742310387 0.0 0.0 0.0
45.0 307261517.75926995 307261519.37978995 307261521.00030994 0.0 0.0 104.15258742310387 0.0 0.0 0.0
46.0 307261521.00031 307261522.62083 307261524.24135 0.0 0.0 104.15258742310387 0.0 0.0 0.0
47.0 307261524.24135 307261525.86187 307261527.48239 0.0 0.0 104.15258742310387 0.0 0.0 0.0
48.0 307261527.48239 307261529.10291 307261530.72343 0.0 0.0 104.15258742310387 0.0 0.0 0.0
49.0 307261530.72343 307261532.34395 307261533.96446997 0.0 0.0 104.15258742310387 0.0 0.0 0.0
