TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 204860881.50657 204860883.12709 204860884.74761 0.0 0.0 686.67871198769 0.0 0.0 0.0
2.0 204860884.74761 204860886.36813 204860887.98865 0.0 0.0 686.67871198769 0.0 0.0 0.0
3.0 204860887.98865002 204860889.60917002 204860891.22969002 0.0 0.0 686.67871198769 0.0 0.0 0.0
4.0 204860891.22969002 204860892.85021 204860894.47073 0.0 0.0 686.67871198769 0.0 0.0 0.0
5.0 204860894.47073 204860896.09125 204860897.71177 0.0 0.0 686.67871198769 0.0 0.0 0.0
6.0 204860897.71177 204860899.33229 204860900.95281 0.0 0.0 686.67871198769 0.0 0.0 0.0
7.0 204860900.95281002 204860902.57333001 204860904.19385 0.0 0.0 686.67871198769 0.0 0.0 0.0
8.0 204860904.19385 204860905.81437 204860907.43489 0.0 0.0 686.67871198769 0.0 0.0 0.0
9.0 204860907.43489 204860909.05541 204860910.67593 0.0 0.0 686.67871198769 0.0 0.0 0.0
10.0 204860910.67593002 204860912.29645002 204860913.91697 0.0 0.0 686.67871198769 0.0 0.0 0.0
11.0 204860913.91697 204860915.53749 204860917.15801 0.0 0.0 686.67871198769 0.0 0.0 0.0
12.0 204860917.15801 204860918.77853 204860920.39905 0.0 0.0 686.67871198769 0.0 0.0 0.0
13.0 204860920.39905 204860922.01957 204860923.64009 0.0 0.0 686.67871198769 0.0 0.0 0.0
14.0 204860923.64009002 204860925.26061 204860926.88113 0.0 0.0 686.67871198769 0.0 0.0 0.0
15.0 204860926.88113 204860928.50165 204860930.12217 0.0 0.0 686.67871198769 0.0 0.0 0.0
16.0 204860930.12217 204860931.74269 204860933.36321 0.0 0.0 686.67871198769 0.0 0.0 0.0
17.0 204860933.36321002 204860934.98373002 204860936.60425 0.0 0.0 686.67871198769 0.0 0.0 0.0
18.0 204860936.60425 204860938.22477 204860939.84529 0.0 0.0 686.67871198769 0.0 0.0 0.0
19.0 204860939.84529 204860941.46581 204860943.08633 0.0 0.0 686.67871198769 0.0 0.0 0.0
20.0 204860943.08633 204860944.70685 204860946.32737 0.0 0.0 686.67871198769 0.0 0.0 0.0
21.0 204860946.32737002 204860947.94789 204860949.56841 0.0 0.0 686.67871198769 0.0 0.0 0.0
22.0 204860949.56841 204860951.18893 204860952.80945 0.0 0.0 686.67871198769 0.0 0.0 0.0
23.0 204860952.80945 204860954.42997 204860956.05049 0.0 0.0 686.67871198769 0.0 0.0 0.0
24.0 204860956.05049002 204860957.67101002 204860959.29153 0.0 0.0 686.67871198769 0.0 0.0 0.0
25.0 204860959.29153 204860960.91205 204860962.53257 0.0 0.0 686.67871198769 0.0 0.0 0.0
26.0 204860962.53257 204860964.15309 204860965.77361 0.0 0.0 686.67871198769 0.0 0.0 0.0
27.0 204860965.77361003 204860967.39413002 204860969.01465002 0.0 0.0 686.67871198769 0.0 0.0 0.0
28.0 204860969.01465002 204860970.63517 204860972.25569 0.0 0.0 686.67871198769 0.0 0.0 0.0
29.0 204860972.25569 204860973.87621 204860975.49673 0.0 0.0 686.67871198769 0.0 0.0 0.0
30.0 204860975.49673 204860977.11725 204860978.73777 0.0 0.0 686.67871198769 0.0 0.0 0.0
31.0 204860978.73777002 204860980.35829002 204860981.97881 0.0 0.0 686.67871198769 0.0 0.0 0.0
32.0 204860981.97881 204860983.59933 204860985.21985 0.0 0.0 686.67871198769 0.0 0.0 0.0
33.0 204860985.21985 204860986.84037 204860988.46089 0.0 0.0 686.67871198769 0.0 0.0 0.0
34.0 204860988.46089002 204860990.08141002 204860991.70193002 0.0 0.0 686.67871198769 0.0 0.0 0.0
35.0 204860991.70193002 204860993.32245 204860994.94297 0.0 0.0 686.67871198769 0.0 0.0 0.0
36.0 204860994.94297 204860996.56349 204860998.18401 0.0 0.0 686.67871198769 0.0 0.0 0.0
37.0 204860998.18401 204860999.80453 204861001.42505 0.0 0.0 686.67871198769 0.0 0.0 0.0
38.0 204861001.42505002 204861003.04557002 204861004.66609 0.0 0.0 686.67871198769 0.0 0.0 0.0
39.0 204861004.66609 204861006.28661 204861007.90713 0.0 0.0 686.67871198769 0.0 0.0 0.0
40.0 204861007.90713 204861009.52765 204861011.14817 0.0 0.0 686.67871198769 0.0 0.0 0.0
41.0 204861011.14817002 204861012.76869002 204861014.38921002 0.0 0.0 686.67871198769 0.0 0.0 0.0
42.0 204861014.38921002 204861016.00973 204861017.63025 0.0 0.0 686.67871198769 0.0 0.0 0.0
43.0 204861017.63025 204861019.25077 204861020.87129 0.0 0.0 686.67871198769 0.0 0.0 0.0
44.0 204861020.87129 204861022.49181 204861024.11233 0.0 0.0 686.67871198769 0.0 0.0 0.0
45.0 204861024.11233002 204861025.73285002 204861027.35337 0.0 0.0 686.67871198769 0.0 0.0 0.0
46.0 204861027.35337 204861028.97389 204861030.59441 0.0 0.0 686.67871198769 0.0 0.0 0.0
47.0 204861030.59441 204861032.21493 204861033.83545 0.0 0.0 686.67871198769 0.0 0.0 0.0
48.0 204861033.83545002 204861035.45597002 204861037.07649 0.0 0.0 686.67871198769 0.0 0.0 0.0
49.0 204861037.07649 204861038.69701 204861040.31753 0.0 0.0 686.67871198769 0.0 0.0 0.0
50.0 204861040.31753 204861041.93805 204861043.55857 0.0 0.0 686.67871198769 0.0 0.0 0.0
51.0 204861043.55857 204861045.17909 204861046.79961 0.0 0.0 686.67871198769 0.0 0.0 0.0
