TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 101320303.86897 101320305.48949 101320307.11001001 0.0 0.0 766.0993870601235 0.0 0.0 0.0
2.0 101320307.11001001 101320308.73053002 101320310.35105002 0.0 0.0 766.0993870601235 0.0 0.0 0.0
3.0 101320310.35105 101320311.97157001 101320313.59209001 0.0 0.0 766.0993870601235 0.0 0.0 0.0
4.0 101320313.59209001 101320315.21261 101320316.83313002 0.0 0.0 766.0993870601235 0.0 0.0 0.0
5.0 101320316.83313 101320318.45365 101320320.07417001 0.0 0.0 766.0993870601235 0.0 0.0 0.0
6.0 101320320.07417001 101320321.69469002 101320323.31521001 0.0 0.0 766.0993870601235 0.0 0.0 0.0
7.0 101320323.31521 101320324.93573001 101320326.55625 0.0 0.0 766.0993870601235 0.0 0.0 0.0
8.0 101320326.55625 101320328.17677 101320329.79729001 0.0 0.0 766.0993870601235 0.0 0.0 0.0
9.0 101320329.79729001 101320331.41781002 101320333.03833002 0.0 0.0 766.0993870601235 0.0 0.0 0.0
10.0 101320333.03833 101320334.65885001 101320336.27937001 0.0 0.0 766.0993870601235 0.0 0.0 0.0
11.0 101320336.27937001 101320337.89989 101320339.52041002 0.0 0.0 766.0993870601235 0.0 0.0 0.0
12.0 101320339.52041 101320341.14093 101320342.76145001 0.0 0.0 766.0993870601235 0.0 0.0 0.0
13.0 101320342.76145001 101320344.38197002 101320346.00249001 0.0 0.0 766.0993870601235 0.0 0.0 0.0
14.0 101320346.00249001 101320347.62301001 101320349.24353002 0.0 0.0 766.0993870601235 0.0 0.0 0.0
15.0 101320349.24353 101320350.86405 101320352.48457001 0.0 0.0 766.0993870601235 0.0 0.0 0.0
16.0 101320352.48457001 101320354.10509002 101320355.72561002 0.0 0.0 766.0993870601235 0.0 0.0 0.0
17.0 101320355.72561 101320357.34613001 101320358.96665001 0.0 0.0 766.0993870601235 0.0 0.0 0.0
18.0 101320358.96665001 101320360.58717 101320362.20769002 0.0 0.0 766.0993870601235 0.0 0.0 0.0
19.0 101320362.20769 101320363.82821 101320365.44873 0.0 0.0 766.0993870601235 0.0 0.0 0.0
20.0 101320365.44873 101320367.06925002 101320368.68977001 0.0 0.0 766.0993870601235 0.0 0.0 0.0
21.0 101320368.68977001 101320370.31029001 101320371.93081002 0.0 0.0 766.0993870601235 0.0 0.0 0.0
22.0 101320371.93081 101320373.55133 101320375.17185001 0.0 0.0 766.0993870601235 0.0 0.0 0.0
23.0 101320375.17185001 101320376.79237002 101320378.41289002 0.0 0.0 766.0993870601235 0.0 0.0 0.0
24.0 101320378.41289 101320380.03341001 101320381.65393001 0.0 0.0 766.0993870601235 0.0 0.0 0.0
25.0 101320381.65393001 101320383.27445 101320384.89497001 0.0 0.0 766.0993870601235 0.0 0.0 0.0
26.0 101320384.89497 101320386.51549 101320388.13601 0.0 0.0 766.0993870601235 0.0 0.0 0.0
27.0 101320388.13601 101320389.75653002 101320391.37705001 0.0 0.0 766.0993870601235 0.0 0.0 0.0
28.0 101320391.37705001 101320392.99757001 101320394.61809002 0.0 0.0 766.0993870601235 0.0 0.0 0.0
29.0 101320394.61809 101320396.23861 101320397.85913001 0.0 0.0 766.0993870601235 0.0 0.0 0.0
30.0 101320397.85913001 101320399.47965002 101320401.10017002 0.0 0.0 766.0993870601235 0.0 0.0 0.0
31.0 101320401.10017 101320402.72069001 101320404.34121001 0.0 0.0 766.0993870601235 0.0 0.0 0.0
32.0 101320404.34121001 101320405.96173 101320407.58225001 0.0 0.0 766.0993870601235 0.0 0.0 0.0
33.0 101320407.58225001 101320409.20277002 101320410.82329002 0.0 0.0 766.0993870601235 0.0 0.0 0.0
34.0 101320410.82329 101320412.44381002 101320414.06433001 0.0 0.0 766.0993870601235 0.0 0.0 0.0
35.0 101320414.06433001 101320415.68485 101320417.30537002 0.0 0.0 766.0993870601235 0.0 0.0 0.0
36.0 101320417.30537 101320418.92589 101320420.54641001 0.0 0.0 766.0993870601235 0.0 0.0 0.0
37.0 101320420.54641001 101320422.16693002 101320423.78745002 0.0 0.0 766.0993870601235 0.0 0.0 0.0
38.0 101320423.78745 101320425.40797001 101320427.02849 0.0 0.0 766.0993870601235 0.0 0.0 0.0
39.0 101320427.02849 101320428.64901 101320430.26953001 0.0 0.0 766.0993870601235 0.0 0.0 0.0
40.0 101320430.26953001 101320431.89005002 101320433.51057002 0.0 0.0 766.0993870601235 0.0 0.0 0.0
41.0 101320433.51057 101320435.13109002 101320436.75161001 0.0 0.0 766.0993870601235 0.0 0.0 0.0
42.0 101320436.75161001 101320438.37213 101320439.99265002 0.0 0.0 766.0993870601235 0.0 0.0 0.0
43.0 101320439.99265 101320441.61317 101320443.23369001 0.0 0.0 766.0993870601235 0.0 0.0 0.0
44.0 101320443.23369001 101320444.85421002 101320446.47473001 0.0 0.0 766.0993870601235 0.0 0.0 0.0
45.0 101320446.47473 101320448.09525001 101320449.71577 0.0 0.0 766.0993870601235 0.0 0.0 0.0
46.0 101320449.71577 101320451.33629 101320452.95681001 0.0 0.0 766.0993870601235 0.0 0.0 0.0
47.0 101320452.95681001 101320454.57733002 101320456.19785002 0.0 0.0 766.0993870601235 0.0 0.0 0.0
48.0 101320456.19785 101320457.81837001 101320459.43889001 0.0 0.0 766.0993870601235 0.0 0.0 0.0
49.0 101320459.43889001 101320461.05941 101320462.67993002 0.0 0.0 766.0993870601235 0.0 0.0 0.0
50.0 101320462.67993 101320464.30045 101320465.92097001 0.0 0.0 766.0993870601235 0.0 0.0 0.0
51.0 101320465.92097001 101320467.54149002 101320469.16201001 0.0 0.0 766.0993870601235 0.0 0.0 0.0
52.0 101320469.16201001 101320470.78253001 101320472.40305002 0.0 0.0 766.0993870601235 0.0 0.0 0.0
53.0 101320472.40305 101320474.02357 101320475.64409001 0.0 0.0 766.0993870601235 0.0 0.0 0.0
54.0 101320475.64409001 101320477.26461002 101320478.88513002 0.0 0.0 766.0993870601235 0.0 0.0 0.0
55.0 101320478.88513 101320480.50565001 101320482.12617001 0.0 0.0 766.0993870601235 0.0 0.0 0.0
56.0 101320482.12617001 101320483.74669 101320485.36721002 0.0 0.0 766.0993870601235 0.0 0.0 0.0
57.0 101320485.36721 101320486.98773 101320488.60825 0.0 0.0 766.0993870601235 0.0 0.0 0.0
58.0 101320488.60825 101320490.22877002 101320491.84929001 0.0 0.0 766.0993870601235 0.0 0.0 0.0
59.0 101320491.84929001 101320493.46981001 101320495.09033002 0.0 0.0 766.0993870601235 0.0 0.0 0.0
60.0 101320495.09033 101320496.71085 101320498.33137001 0.0 0.0 766.0993870601235 0.0 0.0 0.0
61.0 101320498.33137001 101320499.95189002 101320501.57241002 0.0 0.0 766.0993870601235 0.0 0.0 0.0
62.0 101320501.57241 101320503.19293001 101320504.81345001 0.0 0.0 766.0993870601235 0.0 0.0 0.0
63.0 101320504.81345001 101320506.43397 101320508.05449001 0.0 0.0 766.0993870601235 0.0 0.0 0.0
64.0 101320508.05449 101320509.67501 101320511.29553 0.0 0.0 766.0993870601235 0.0 0.0 0.0
